"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS29",0,0.536476907515761,0.991,0.963,0,"0","RPS29"
"RPL39",0,0.523684511769773,0.957,0.854,0,"0","RPL39"
"CCR7",3.76588376172491e-302,0.867214027811806,0.435,0.191,9.90427429333652e-298,"0","CCR7"
"PASK",5.75580052209774e-277,0.784479213978698,0.214,0.059,1.5137755373117e-272,"0","PASK"
"RPS17",2.07873039947617e-242,0.599154895883265,0.77,0.639,5.46706095062232e-238,"0","RPS17"
"SARAF",3.16464230838873e-122,0.571105212464338,0.703,0.558,8.32300927106236e-118,"0","SARAF"
"TSHZ2",1.65559772051207e-112,0.502014276926196,0.175,0.074,4.35422200494676e-108,"0","TSHZ2"
"AC090498.1",1.83764098343417e-109,0.553257843961663,0.429,0.283,4.83299578643186e-105,"0","AC090498.1"
"SELL",7.27083434177893e-81,0.535391602588407,0.278,0.168,1.91222943188786e-76,"0","SELL"
"TNFRSF4",0,2.47345772637476,0.638,0.202,0,"1","TNFRSF4"
"TNFRSF18",0,2.34583082530885,0.638,0.152,0,"1","TNFRSF18"
"BATF",0,2.31971595893428,0.672,0.146,0,"1","BATF"
"IL2RA",0,2.24184793037971,0.456,0.047,0,"1","IL2RA"
"TIGIT",0,2.04625845879347,0.625,0.107,0,"1","TIGIT"
"AC133644.2",0,1.91256748720984,0.417,0.039,0,"1","AC133644.2"
"CARD16",0,1.892297375508,0.651,0.184,0,"1","CARD16"
"DUSP4",0,1.84752467996829,0.589,0.142,0,"1","DUSP4"
"PMAIP1",0,1.7366865984683,0.536,0.144,0,"1","PMAIP1"
"IL32",0,1.52447698853968,0.978,0.826,0,"1","IL32"
"SAT1",0,1.52360066353817,0.818,0.556,0,"1","SAT1"
"FOXP3",0,1.48057866796273,0.361,0.017,0,"1","FOXP3"
"LAIR2",0,1.47171720557568,0.298,0.015,0,"1","LAIR2"
"MAGEH1",0,1.43114930272818,0.295,0.055,0,"1","MAGEH1"
"MIR4435-2HG",0,1.39398005836797,0.392,0.078,0,"1","MIR4435-2HG"
"CTSC",0,1.38281993662811,0.539,0.207,0,"1","CTSC"
"HLA-DRB1",0,1.35659037672607,0.404,0.142,0,"1","HLA-DRB1"
"CTLA4",0,1.31663954590198,0.371,0.072,0,"1","CTLA4"
"LINC00152",0,1.3137867704297,0.568,0.225,0,"1","LINC00152"
"TNFRSF9",0,1.31263857162081,0.249,0.017,0,"1","TNFRSF9"
"CD27",0,1.31096366016075,0.6,0.245,0,"1","CD27"
"TNFRSF1B",0,1.27844469666632,0.485,0.185,0,"1","TNFRSF1B"
"DNPH1",0,1.26551132916421,0.518,0.186,0,"1","DNPH1"
"GLRX",0,1.25558998245359,0.422,0.13,0,"1","GLRX"
"AC017002.1",0,1.23001577923512,0.232,0.013,0,"1","AC017002.1"
"ICA1",0,1.21717262500052,0.263,0.035,0,"1","ICA1"
"CD74",0,1.19863205470062,0.806,0.575,0,"1","CD74"
"TBC1D4",0,1.18325747410029,0.352,0.069,0,"1","TBC1D4"
"TYMP",0,1.16659177849569,0.445,0.178,0,"1","TYMP"
"BIRC3",0,1.16436106837004,0.688,0.41,0,"1","BIRC3"
"AC002331.1",0,1.16072152707671,0.217,0.015,0,"1","AC002331.1"
"GBP2",0,1.11935020528242,0.447,0.164,0,"1","GBP2"
"LAYN",0,1.10088310105936,0.25,0.016,0,"1","LAYN"
"RTKN2",0,1.09368972298691,0.224,0.019,0,"1","RTKN2"
"CD7",0,1.08474465121183,0.759,0.568,0,"1","CD7"
"ARID5B",0,1.06532308037602,0.53,0.236,0,"1","ARID5B"
"NAMPT",0,1.04879643259965,0.391,0.145,0,"1","NAMPT"
"RGS1",0,1.04280548610664,0.885,0.615,0,"1","RGS1"
"IL1R2",0,1.03580737781627,0.187,0.01,0,"1","IL1R2"
"UCP2",0,1.02831915540171,0.543,0.28,0,"1","UCP2"
"RPS27L",0,1.01916367244198,0.627,0.351,0,"1","RPS27L"
"SOX4",0,1.0127034489382,0.143,0.02,0,"1","SOX4"
"ACP5",0,1.01102120074342,0.276,0.067,0,"1","ACP5"
"GPX1",0,0.962514214543186,0.57,0.31,0,"1","GPX1"
"HLA-DPB1",0,0.936781303649739,0.42,0.174,0,"1","HLA-DPB1"
"HLA-A",0,0.904879499852044,0.992,0.964,0,"1","HLA-A"
"ENTPD1",0,0.828719074588853,0.252,0.056,0,"1","ENTPD1"
"S100A4",0,0.814244632888229,0.943,0.805,0,"1","S100A4"
"CRADD",0,0.76204746793303,0.174,0.032,0,"1","CRADD"
"CUL9",0,0.749065507961624,0.161,0.013,0,"1","CUL9"
"OAZ1",0,0.731804354464651,0.931,0.833,0,"1","OAZ1"
"FANK1",0,0.701345347764695,0.14,0.004,0,"1","FANK1"
"ZBTB32",0,0.670549803961886,0.141,0.014,0,"1","ZBTB32"
"ACTB",0,0.577162893339294,0.992,0.981,0,"1","ACTB"
"IKZF2",0,0.552393317548589,0.121,0.009,0,"1","IKZF2"
"CD79B",6.22023781601585e-304,0.725956474064638,0.216,0.052,1.63592254561217e-299,"1","CD79B"
"PTTG1",5.51209123710932e-301,0.766982486888944,0.273,0.082,1.44967999535975e-296,"1","PTTG1"
"GAPDH",1.03218929830124e-300,0.697089463464215,0.94,0.875,2.71465785453226e-296,"1","GAPDH"
"GBP5",8.07516107110874e-300,0.783713539287398,0.238,0.064,2.1237673617016e-295,"1","GBP5"
"GADD45A",8.8146206542642e-300,0.947229086962688,0.283,0.09,2.31824523207149e-295,"1","GADD45A"
"HS3ST3B1",1.93910971954967e-299,0.640407898372562,0.146,0.023,5.09985856241562e-295,"1","HS3ST3B1"
"CFLAR",1.64669089953194e-293,0.958289874910081,0.429,0.193,4.33079706576899e-289,"1","CFLAR"
"CORO1B",2.9584284857919e-293,0.976693163707451,0.513,0.267,7.78066691763269e-289,"1","CORO1B"
"UGP2",4.69514224078765e-293,0.935063604923555,0.442,0.206,1.23482240932715e-288,"1","UGP2"
"HTATIP2",2.30308073035898e-287,0.738930252605925,0.246,0.071,6.05710232084413e-283,"1","HTATIP2"
"HLA-DPA1",6.8026473808749e-285,0.900909548846354,0.393,0.167,1.7890962611701e-280,"1","HLA-DPA1"
"BTG3",1.33682315694267e-284,0.833405574359844,0.324,0.118,3.51584490275922e-280,"1","BTG3"
"IL2RB",6.68326773553427e-281,0.810951677558624,0.346,0.134,1.75769941444551e-276,"1","IL2RB"
"PIM2",7.0800187174693e-279,0.914769711837526,0.37,0.152,1.86204492269443e-274,"1","PIM2"
"PRDM1",4.82535835819471e-275,0.892071986328412,0.318,0.117,1.26906924820521e-270,"1","PRDM1"
"GK",4.77018015048405e-274,0.628100195294767,0.161,0.031,1.2545573795773e-269,"1","GK"
"HLA-DQB1",4.99282982865394e-267,0.803352516589598,0.224,0.064,1.31311424493599e-262,"1","HLA-DQB1"
"PKM",1.49426144021055e-266,1.10382372330598,0.571,0.355,3.92990758775375e-262,"1","PKM"
"SUMO2",6.42248570005161e-265,0.679737910411337,0.771,0.599,1.68911373911357e-260,"1","SUMO2"
"EPSTI1",4.82987572468147e-255,0.730966264861254,0.28,0.098,1.27025731559123e-250,"1","EPSTI1"
"HLA-DQA1",1.24538615830229e-253,0.830176440434326,0.186,0.047,3.27536559633503e-249,"1","HLA-DQA1"
"ARPC1B",9.50752736784286e-249,0.699439212505867,0.772,0.587,2.50047969774267e-244,"1","ARPC1B"
"HLA-DMA",4.69621535454879e-247,0.662344822643741,0.203,0.056,1.23510463824633e-242,"1","HLA-DMA"
"TRAC",1.17266563439028e-244,0.655324866357025,0.923,0.839,3.08411061844644e-240,"1","TRAC"
"MYL6",9.564320667383e-242,0.52582787533012,0.938,0.871,2.51541633552173e-237,"1","MYL6"
"STAM",4.14580969510174e-241,0.562681053881206,0.162,0.037,1.09034794981176e-236,"1","STAM"
"FAM129A",3.68186071987681e-239,0.741636824520301,0.282,0.103,9.683293693276e-235,"1","FAM129A"
"CASP1",1.31511095200116e-237,0.689883360419018,0.303,0.115,3.45874180376305e-233,"1","CASP1"
"PHLDA1",1.43176761573875e-232,0.755887849946134,0.446,0.217,3.76554882939292e-228,"1","PHLDA1"
"CD70",5.5687256650259e-231,0.668521533427266,0.134,0.026,1.46457484990181e-226,"1","CD70"
"ICOS",6.69192624629069e-231,0.957015163688917,0.484,0.263,1.75997660277445e-226,"1","ICOS"
"RHBDD2",1.09606594967927e-229,0.750179188277405,0.348,0.15,2.88265344765647e-225,"1","RHBDD2"
"MT2A",4.35839348173917e-227,0.955872037671454,0.461,0.248,1.1462574856974e-222,"1","MT2A"
"CALM3",1.05186678095112e-223,0.761794841929648,0.535,0.317,2.76640963390144e-219,"1","CALM3"
"ZC2HC1A",2.18356631434012e-221,0.545488256621009,0.11,0.018,5.74277940671452e-217,"1","ZC2HC1A"
"SPOCK2",5.13087856128806e-220,0.74244919214912,0.64,0.439,1.34942106161876e-215,"1","SPOCK2"
"SOD1",5.32465012082197e-220,0.719744635256431,0.74,0.576,1.40038298177618e-215,"1","SOD1"
"HPGD",1.87694062415053e-214,0.746285847210199,0.149,0.035,4.9363538415159e-210,"1","HPGD"
"FKBP1A",7.24698874160303e-213,0.727777277899865,0.562,0.351,1.9059580390416e-208,"1","FKBP1A"
