"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCR7",3.76588376172491e-302,0.867214027811806,0.435,0.191,9.90427429333652e-298,"0","CCR7"
"PASK",5.75580052209774e-277,0.784479213978698,0.214,0.059,1.5137755373117e-272,"0","PASK"
"RPS17",2.07873039947617e-242,0.599154895883265,0.77,0.639,5.46706095062232e-238,"0","RPS17"
"SARAF",3.16464230838873e-122,0.571105212464338,0.703,0.558,8.32300927106236e-118,"0","SARAF"
"AC090498.1",1.83764098343417e-109,0.553257843961663,0.429,0.283,4.83299578643186e-105,"0","AC090498.1"
"RPS29",0,0.536476907515761,0.991,0.963,0,"0","RPS29"
"SELL",7.27083434177893e-81,0.535391602588407,0.278,0.168,1.91222943188786e-76,"0","SELL"
"RPL39",0,0.523684511769773,0.957,0.854,0,"0","RPL39"
"TSHZ2",1.65559772051207e-112,0.502014276926196,0.175,0.074,4.35422200494676e-108,"0","TSHZ2"
"TNFRSF4",0,2.47345772637476,0.638,0.202,0,"1","TNFRSF4"
"TNFRSF18",0,2.34583082530885,0.638,0.152,0,"1","TNFRSF18"
"BATF",0,2.31971595893428,0.672,0.146,0,"1","BATF"
"IL2RA",0,2.24184793037971,0.456,0.047,0,"1","IL2RA"
"TIGIT",0,2.04625845879347,0.625,0.107,0,"1","TIGIT"
"AC133644.2",0,1.91256748720984,0.417,0.039,0,"1","AC133644.2"
"CARD16",0,1.892297375508,0.651,0.184,0,"1","CARD16"
"DUSP4",0,1.84752467996829,0.589,0.142,0,"1","DUSP4"
"PMAIP1",0,1.7366865984683,0.536,0.144,0,"1","PMAIP1"
"IL32",0,1.52447698853968,0.978,0.826,0,"1","IL32"
"SAT1",0,1.52360066353817,0.818,0.556,0,"1","SAT1"
"FOXP3",0,1.48057866796273,0.361,0.017,0,"1","FOXP3"
"LAIR2",0,1.47171720557568,0.298,0.015,0,"1","LAIR2"
"MAGEH1",0,1.43114930272818,0.295,0.055,0,"1","MAGEH1"
"MIR4435-2HG",0,1.39398005836797,0.392,0.078,0,"1","MIR4435-2HG"
"CTSC",0,1.38281993662811,0.539,0.207,0,"1","CTSC"
"HLA-DRB1",0,1.35659037672607,0.404,0.142,0,"1","HLA-DRB1"
"CTLA4",0,1.31663954590198,0.371,0.072,0,"1","CTLA4"
"LINC00152",0,1.3137867704297,0.568,0.225,0,"1","LINC00152"
"TNFRSF9",0,1.31263857162081,0.249,0.017,0,"1","TNFRSF9"
"GZMA",3.98906971406446e-302,1.47616172326016,0.354,0.132,1.04912533479895e-297,"2","GZMA"
"CAPG",7.43983715956749e-299,1.08487482821444,0.374,0.149,1.95667717296625e-294,"2","CAPG"
"SH3BGRL3",0,0.989246567644566,0.93,0.834,0,"2","SH3BGRL3"
"ALOX5AP",2.07441232860649e-237,0.925325809596419,0.575,0.358,5.45570442423508e-233,"2","ALOX5AP"
"PFN1",0,0.908577358533314,0.97,0.914,0,"2","PFN1"
"AC009501.4",8.95903128408466e-130,0.90499482465309,0.18,0.068,2.35622522771427e-125,"2","AC009501.4"
"PTPRCAP",9.96571676934771e-125,0.899845623894119,0.326,0.179,2.62098351033845e-120,"2","PTPRCAP"
"LGALS11",5.91570275993362e-61,0.879193591603517,0.417,0.318,1.55582982586254e-56,"2","LGALS1"
"LGALS3",8.68173672993242e-174,0.860070947616586,0.444,0.258,2.28329675997223e-169,"2","LGALS3"
"S100A41",0,0.83805109234412,0.955,0.806,0,"2","S100A4"
"ACTB1",0,0.815596431022285,0.995,0.98,0,"2","ACTB"
"LTB1",5.76263189814619e-75,0.771205633098832,0.785,0.768,1.51557218921245e-70,"2","LTB"
"CD52",0,0.751868810495514,0.93,0.855,0,"2","CD52"
"S100A11",4.32088905483698e-192,0.745723071180824,0.676,0.505,1.13639382142213e-187,"2","S100A11"
"MYL12A",1.24527470045781e-267,0.732690305965818,0.867,0.751,3.27507246220403e-263,"2","MYL12A"
