"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCL5",0,2.16411168803302,0.618,0.19,0,"0","CCL5"
"LMNA",1.09414238797485e-189,1.08920353128684,0.415,0.24,2.87759448037386e-185,"0","LMNA"
"ANXA1",0,0.999161613713488,0.803,0.598,0,"0","ANXA1"
"RGCC",5.8918805054349e-199,0.967208759926886,0.645,0.499,1.54956457292938e-194,"0","RGCC"
"CCL4",9.40696256340596e-24,0.963434675134504,0.107,0.069,2.47403115417577e-19,"0","CCL4"
"CST7",1.58982180114811e-241,0.882434924206435,0.345,0.149,4.18123133701954e-237,"0","CST7"
"DUSP2",4.36930104352451e-151,0.859918648513066,0.482,0.328,1.14912617444695e-146,"0","DUSP2"
"GZMA",2.05426473828246e-134,0.855760599836195,0.193,0.077,5.40271626168288e-130,"0","GZMA"
"KLRB1",8.78727496521061e-221,0.816716847296979,0.632,0.423,2.31105331585039e-216,"0","KLRB1"
"ID2",5.74474391424355e-251,0.770764843322402,0.597,0.377,1.51086764944605e-246,"0","ID2"
"ZFP36",7.78556604348755e-228,0.73004380318874,0.749,0.601,2.04760386943723e-223,"0","ZFP36"
"HOPX",4.30927785772328e-134,0.724594392096869,0.196,0.078,1.13334007658122e-129,"0","HOPX"
"RGS2",6.31076775447495e-133,0.714707621147955,0.429,0.276,1.65973191942691e-128,"0","RGS2"
"IL32",0,0.704605282237171,0.902,0.744,0,"0","IL32"
"PHLDA1",7.96006510737203e-119,0.700497902051466,0.271,0.141,2.09349712323884e-114,"0","PHLDA1"
"LGALS1",7.78549134715319e-77,0.673918307523099,0.362,0.258,2.04758422430129e-72,"0","LGALS1"
"MCL1",5.77646985824621e-185,0.670035089133655,0.632,0.472,1.51921157271875e-180,"0","MCL1"
"S100A4",0,0.643580601896232,0.911,0.69,0,"0","S100A4"
"MYADM",1.12210295997995e-105,0.620095969419186,0.38,0.249,2.95113078474728e-101,"0","MYADM"
"JCHAIN",3.44990473172598e-65,0.617808717376044,0.27,0.178,9.07324944443933e-61,"0","JCHAIN"
"CCR7",0,1.33132679611196,0.551,0.162,0,"1","CCR7"
