"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LAIR2",0,2.83111697390545,0.998,0.011,0,"0","LAIR2"
"TNFRSF18",3.62833768932724e-91,0.793321096409,0.786,0.569,9.54252812293064e-87,"0","TNFRSF18"
"S100A4",3.70110974399328e-83,0.529142122529485,0.983,0.926,9.73391862670233e-79,"0","S100A4"
"BATF",4.62571816398689e-69,0.620903983973531,0.805,0.633,1.21656387712855e-64,"0","BATF"
"TNFRSF4",1.45368815569636e-63,0.825190082630454,0.771,0.582,3.82319984948142e-59,"0","TNFRSF4"
"CD177",2.80107951570035e-53,0.751227504021773,0.164,0.05,7.36683912629191e-49,"0","CD177"
"LAYN",1.5788597242326e-52,0.524329995440091,0.351,0.173,4.15240107473174e-48,"0","LAYN"
"IL2RA",2.05101238568037e-43,0.623046282306241,0.556,0.38,5.39416257433937e-39,"0","IL2RA"
"PKM",1.36234697188436e-39,0.624708276070465,0.685,0.543,3.58297253605587e-35,"0","PKM"
"CD7",6.68159097988561e-38,0.509431547913366,0.842,0.738,1.75725842770991e-33,"0","CD7"
"IFI6",6.09500309706547e-37,0.523362532313891,0.45,0.278,1.60298581452822e-32,"0","IFI6"
"LGALS1",2.554344428709e-34,0.661800725114801,0.556,0.409,6.71792584750468e-30,"0","LGALS1"
"MT-RNR2",2.50285084762987e-56,0.979632144415701,0.198,0.062,6.58249772926655e-52,"1","MT-RNR2"
"TMEM66",1.77143557399328e-49,0.977541166073089,0.157,0.047,4.65887555960233e-45,"1","TMEM66"
"PTPRCAP",1.50532413179553e-47,1.00739920411859,0.157,0.049,3.95900246662225e-43,"1","PTPRCAP"
"IGJ",4.92243839798458e-41,1.05724616222038,0.162,0.056,1.29460129866994e-36,"1","IGJ"
"C17orf76-AS1",1.70828885542445e-34,0.746875379177186,0.133,0.046,4.49279968976631e-30,"1","C17orf76-AS1"
"GAS5",1.8789605700198e-34,0.742969395203258,0.125,0.041,4.94166629915208e-30,"1","GAS5"
"MT-RNR1",2.89227442492226e-32,0.663498200719906,0.129,0.044,7.60668173754555e-28,"1","MT-RNR1"
"IGHA1",5.80525503995582e-31,0.916959181309958,0.514,0.388,1.52678207550838e-26,"1","IGHA1"
"IL2RA1",0,1.42262868894293,0.993,0.288,0,"2","IL2RA"
"AC002331.1",0,2.36620915912728,1,0.106,0,"3","AC002331.1"
"CTLA4",0,1.51973304999934,1,0.294,0,"4","CTLA4"
"IGJ1",3.79230928610405e-34,1.60669260913427,0.189,0.066,9.97377342245364e-30,"4","IGJ"
"MT-RNR21",8.42322074166374e-31,1.21474417348268,0.203,0.078,2.21530705505756e-26,"4","MT-RNR2"
"MT-RNR11",1.22582748939639e-25,0.914288366810576,0.149,0.052,3.2239262971125e-21,"4","MT-RNR1"
"C17orf76-AS11",1.64386722592142e-23,0.681667776624446,0.149,0.054,4.32337080417334e-19,"4","C17orf76-AS1"
"TMEM661",9.17490074738552e-21,0.674985021244258,0.153,0.061,2.41299889656239e-16,"4","TMEM66"
"GAS51",1.00560568636136e-19,0.590756968498946,0.132,0.05,2.64474295513037e-15,"4","GAS5"
"IGHA11",1.07904036613498e-19,1.17070729102375,0.528,0.402,2.83787616293501e-15,"4","IGHA1"
"KLRB1",2.06302552754206e-16,0.718117697196464,0.487,0.354,5.42575713743562e-12,"4","KLRB1"
"CCR7",1.45283399182588e-07,0.501430155990101,0.201,0.133,0.00382095339850206,"4","CCR7"
"LAG3",1.30172025282497e-05,0.687185774189498,0.165,0.115,0.342352426492967,"4","LAG3"
"HSPA6",0,5.35126752567803,0.812,0.034,0,"5","HSPA6"
"HSPA1B",0,3.95230652889214,0.961,0.269,0,"5","HSPA1B"
"BAG3",0,2.76845679080136,0.617,0.052,0,"5","BAG3"
"HSPA1A",3.04678835818569e-277,3.73899764452662,0.972,0.385,8.01305338202836e-273,"5","HSPA1A"
"DNAJA4",9.89615126918072e-277,2.01946468895851,0.526,0.053,2.60268778379453e-272,"5","DNAJA4"
"SERPINH1",9.03263057920258e-225,2.30799171584804,0.452,0.05,2.37558184233028e-220,"5","SERPINH1"
"DNAJB1",3.26928258632932e-224,3.10685279405544,0.965,0.53,8.59821320204612e-220,"5","DNAJB1"
"DNAJB4",5.34338975314094e-205,1.93835125070758,0.478,0.063,1.40531150507607e-200,"5","DNAJB4"
"ZFAND2A",4.47373455889194e-195,2.67463930839905,0.565,0.101,1.17659218898858e-190,"5","ZFAND2A"
"RGS2",4.85959199771427e-191,2.71295705491082,0.76,0.219,1.27807269539885e-186,"5","RGS2"
"HSP90AA1",6.41692705244035e-188,2.79472718624515,0.989,0.809,1.68765181479181e-183,"5","HSP90AA1"
"RGS16",2.25458010044108e-173,1.56359340143454,0.361,0.039,5.92954566416003e-169,"5","RGS16"
"HSPB1",3.1662648047574e-167,2.6134436634773,0.885,0.445,8.32727643651196e-163,"5","HSPB1"
"HSPH1",1.34121363092505e-152,2.1821836141247,0.745,0.255,3.52739184933288e-148,"5","HSPH1"
"RHOB",1.65375761309524e-147,2.09274823489442,0.519,0.11,4.34938252244048e-143,"5","RHOB"
"TNF",2.95830418094552e-134,1.58726902982045,0.37,0.056,7.78033999588671e-130,"5","TNF"
"TNFSF14",3.16714318388873e-122,1.25684645872922,0.312,0.043,8.32958657362735e-118,"5","TNFSF14"
"HSPD1",1.71935494085051e-119,2.01513730543416,0.794,0.365,4.52190349443683e-115,"5","HSPD1"
"RPS4Y1",1.35752125761498e-115,1.14235784326498,0.742,0.23,3.57028090752739e-111,"5","RPS4Y1"
"CACYBP",1.56528729136439e-108,1.69018484655334,0.842,0.454,4.11670557628834e-104,"5","CACYBP"
"GADD45B",5.43701684236255e-106,2.00854567118842,0.645,0.227,1.42993542954135e-101,"5","GADD45B"
"HSPA8",5.16301295691649e-102,1.8378846123309,0.965,0.801,1.35787240766904e-97,"5","HSPA8"
"NR4A1",1.01283963056346e-99,1.24946154716076,0.433,0.102,2.6637682283819e-95,"5","NR4A1"
"ATF3",4.11923915093821e-98,1.5074777552043,0.327,0.06,1.08335989669675e-93,"5","ATF3"
"JUN",2.02407256891055e-93,2.03913535050683,0.918,0.671,5.32331085623474e-89,"5","JUN"
"HSP90AB1",4.34956914243843e-93,1.58630063315625,0.911,0.655,1.14393668446131e-88,"5","HSP90AB1"
"UBB",7.46360384959632e-89,1.39602599286131,0.97,0.861,1.96292781244383e-84,"5","UBB"
"ID2",1.93453057143692e-87,1.7376254348095,0.814,0.429,5.08781540287909e-83,"5","ID2"
"RASD1",2.32321843948393e-86,0.67563367743769,0.134,0.009,6.11006449584273e-82,"5","RASD1"
"FKBP4",2.94716693791231e-84,1.31494674000084,0.437,0.119,7.75104904670937e-80,"5","FKBP4"
"GADD45G",1.08501691263933e-81,1.79713078077825,0.416,0.111,2.85359448024144e-77,"5","GADD45G"
"DNAJA1",1.40070379996351e-78,1.71647536604072,0.797,0.484,3.68385099390402e-74,"5","DNAJA1"
"HSPA2",7.21228209252789e-76,0.755010329940996,0.169,0.019,1.89683019033483e-71,"5","HSPA2"
"DEDD2",1.51453331970156e-74,1.17530114994462,0.481,0.156,3.9832226308151e-70,"5","DEDD2"
"HSPE1",3.8247589295768e-73,1.46260528411813,0.842,0.553,1.0059115984787e-68,"5","HSPE1"
"MRPL18",4.50092272702505e-73,1.4271416177807,0.548,0.209,1.18374267720759e-68,"5","MRPL18"
"PLK2",6.92296318327649e-70,0.611339150383468,0.13,0.012,1.82073931720172e-65,"5","PLK2"
"MXD1",1.08382418149586e-68,0.780019416605902,0.203,0.032,2.85045759733412e-64,"5","MXD1"
"TPT1",7.77893729253854e-68,0.669735394596164,0.994,0.986,2.04586050793764e-63,"5","TPT1"
"CEBPD",6.79637075276226e-67,0.684720898364277,0.145,0.016,1.78744550797647e-62,"5","CEBPD"
"MB21D1",1.16822310886453e-65,0.815454890243949,0.251,0.05,3.07242677631371e-61,"5","MB21D1"
"IER5",5.17628887279266e-64,1.22193909932197,0.344,0.093,1.36136397354447e-59,"5","IER5"
"TNFSF9",1.0184104575454e-58,0.515196778328175,0.108,0.01,2.67841950334441e-54,"5","TNFSF9"
"SLC20A1",3.253634875284e-58,0.800422008892237,0.301,0.076,8.55705972199691e-54,"5","SLC20A1"
"NEU1",2.51621318741669e-56,1.11042377097423,0.379,0.122,6.61764068290589e-52,"5","NEU1"
"IFNG",1.17768236559154e-54,1.12466129486407,0.145,0.02,3.09730462150575e-50,"5","IFNG"
"ANXA1",1.23585416264848e-54,1.63475350444273,0.37,0.119,3.2502964477655e-50,"5","ANXA1"
"NFKBIE",4.83015457817782e-54,0.627765528981644,0.242,0.054,1.27033065406077e-49,"5","NFKBIE"
"CHORDC1",5.3376884387129e-54,1.024615555684,0.429,0.151,1.40381205938149e-49,"5","CHORDC1"
"RP1-34B20.21",1.00410479479573e-53,0.706724042468253,0.16,0.025,2.64079561031278e-49,"5","RP1-34B20.21"
"NKRF",1.28671291779599e-52,0.505134030645186,0.145,0.021,3.38405497380347e-48,"5","NKRF"
"PLIN2",1.46777969055327e-51,1.99403547568612,0.522,0.247,3.8602605861551e-47,"5","PLIN2"
"UBC",1.49415106766988e-51,1.13228227990635,0.97,0.911,3.92961730797179e-47,"5","UBC"
"PPP1R15A",1.48009319370288e-50,1.0844481666171,0.777,0.479,3.89264509943858e-46,"5","PPP1R15A"
"CD83",6.02071117566704e-50,1.53532954353929,0.403,0.147,1.58344703920043e-45,"5","CD83"
"KLF2",7.9053672370323e-47,1.1141836030209,0.325,0.104,2.07911158333949e-42,"5","KLF2"
"CCL20",9.57525862522023e-47,1.78652458664494,0.502,0.224,2.51829301843292e-42,"5","CCL20"
"SGK1",2.07910413836777e-45,0.667517568506934,0.203,0.046,5.46804388390723e-41,"5","SGK1"
