"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IGHD",0,2.61720045342239,0.701,0.032,0,"Naive Bcells","IGHD"
"FCER2",0,1.86340509267383,0.534,0.06,0,"Naive Bcells","FCER2"
"TCL1A",0,1.63403067809419,0.53,0.086,0,"Naive Bcells","TCL1A"
"BTG1",0,1.22786683640586,0.979,0.877,0,"Naive Bcells","BTG1"
"CXCR4",0,1.19243620049594,0.959,0.63,0,"Naive Bcells","CXCR4"
"HLA-DRB1",0,1.18990684229507,0.932,0.669,0,"Naive Bcells","HLA-DRB1"
"LAPTM5",0,1.14619841948069,0.885,0.583,0,"Naive Bcells","LAPTM5"
"CD72",0,1.11043957960713,0.349,0.082,0,"Naive Bcells","CD72"
"HLA-DQB1",0,1.10398181389401,0.827,0.517,0,"Naive Bcells","HLA-DQB1"
"HLA-DQA1",0,1.07055350214862,0.849,0.57,0,"Naive Bcells","HLA-DQA1"
"HLA-DPA1",0,1.06706214904133,0.95,0.702,0,"Naive Bcells","HLA-DPA1"
"HLA-DRA",0,1.06671307848021,0.997,0.785,0,"Naive Bcells","HLA-DRA"
"CD52",0,1.06104330232186,0.954,0.687,0,"Naive Bcells","CD52"
"HLA-DPB1",0,0.996364540115332,0.954,0.686,0,"Naive Bcells","HLA-DPB1"
"CD37",0,0.964805726314095,0.898,0.615,0,"Naive Bcells","CD37"
"CD74",0,0.928589786131622,1,0.953,0,"Naive Bcells","CD74"
"CD79A",1.43134995321777e-304,0.857878188454224,0.922,0.82,3.76445037696273e-300,"Naive Bcells","CD79A"
"CD83",6.58991604088433e-274,1.22870795716163,0.635,0.341,1.73314791875258e-269,"Naive Bcells","CD83"
"HLA-DMA",1.30485860943953e-272,0.962227331478961,0.717,0.453,3.43177814282596e-268,"Naive Bcells","HLA-DMA"
"RPS17",2.07100021404348e-248,0.952271010368776,0.754,0.547,5.44673056293435e-244,"Naive Bcells","RPS17"
"CD69",1.12686265403428e-245,1.02993104333891,0.793,0.569,2.96364878011015e-241,"Naive Bcells","CD69"
"SARAF",1.80515400728497e-243,1.16847255293895,0.567,0.295,4.74755503915947e-239,"Naive Bcells","SARAF"
"SLC2A3",1.975706365061e-210,0.976432134338599,0.446,0.203,5.19610774011044e-206,"Naive Bcells","SLC2A3"
"HLA-DMB",3.04473740479422e-203,0.868862686349681,0.565,0.306,8.00765937460879e-199,"Naive Bcells","HLA-DMB"
"SELL",9.45365114660377e-203,0.96603500070154,0.407,0.17,2.48631025155679e-198,"Naive Bcells","SELL"
"CD22",2.60097397961701e-195,0.844310749769341,0.404,0.17,6.84056156639275e-191,"Naive Bcells","CD22"
"PHACTR1",4.33387417713278e-184,0.979619463919929,0.365,0.154,1.13980890858592e-179,"Naive Bcells","PHACTR1"
"RHOH",4.17488007236255e-149,0.882719644599564,0.589,0.423,1.09799345903135e-144,"Naive Bcells","RHOH"
"LINC00926",5.03147618970271e-149,0.814156930158485,0.328,0.139,1.32327823789181e-144,"Naive Bcells","LINC00926"
"REL",1.16074811304753e-148,0.820327322299356,0.512,0.293,3.05276753731499e-144,"Naive Bcells","REL"
"CHMP1B",3.99576624870652e-136,1.41884010783716,0.398,0.222,1.05088652340981e-131,"Naive Bcells","CHMP1B"
"HLA-DRB5",5.87596970321119e-124,1.07111430226497,0.522,0.356,1.54538003194454e-119,"Naive Bcells","HLA-DRB5"
"CD55",4.84160853813544e-121,1.0020351213086,0.493,0.337,1.27334304552962e-116,"Naive Bcells","CD55"
"BIRC3",2.58507072641894e-115,0.9098212826708,0.544,0.392,6.79873601048181e-111,"Naive Bcells","BIRC3"
"TUBA1A",2.12208938143859e-114,0.843821147859489,0.393,0.222,5.5810950731835e-110,"Naive Bcells","TUBA1A"
"VPS37B",2.01027477407124e-101,0.892607867834889,0.328,0.18,5.28702265580735e-97,"Naive Bcells","VPS37B"
"TMEM123",4.11338311933344e-95,0.886184064213049,0.399,0.261,1.08181976038469e-90,"Naive Bcells","TMEM123"
"LY9",1.16047126289882e-94,0.854007888402457,0.391,0.235,3.05203942142391e-90,"Naive Bcells","LY9"
"CREM",3.22447599350065e-79,1.04399845675633,0.413,0.283,8.48037186290672e-75,"Naive Bcells","CREM"
"ZNF331",1.09065434075922e-64,0.844959041831699,0.384,0.267,2.86842091619676e-60,"Naive Bcells","ZNF331"
"YPEL5",1.94148901190186e-32,0.833798683895332,0.549,0.548,5.10611610130188e-28,"Naive Bcells","YPEL5"
"IGHG3",0,7.26077468283005,0.978,0.316,0,"IgG+ Plasma cells","IGHG3"
"IGHG1",0,7.01378028795216,0.971,0.283,0,"IgG+ Plasma cells","IGHG1"
"IGHG4",0,6.83112371317217,0.946,0.25,0,"IgG+ Plasma cells","IGHG4"
"IGHG2",0,6.78772214307972,0.841,0.076,0,"IgG+ Plasma cells","IGHG2"
"IGHGP",0,4.58225399141581,0.453,0.007,0,"IgG+ Plasma cells","IGHGP"
"MZB1",6.19953400916766e-267,2.00680925845968,0.955,0.443,1.63047744441109e-262,"IgG+ Plasma cells","MZB1"
"XBP1",7.76293901296961e-265,1.93781652472417,0.933,0.403,2.04165296041101e-260,"IgG+ Plasma cells","XBP1"
"FKBP11",4.50416066009148e-215,1.58346648868456,0.85,0.331,1.18459425360406e-210,"IgG+ Plasma cells","FKBP11"
"HSP90B1",9.04990543493729e-202,1.62701451367442,0.902,0.436,2.38012512938851e-197,"IgG+ Plasma cells","HSP90B1"
"MYDGF",5.52928531121589e-192,1.71713273536354,0.491,0.122,1.45420203684978e-187,"IgG+ Plasma cells","MYDGF"
"JSRP1",8.45199621081106e-185,1.37501735022527,0.359,0.065,2.22287500344331e-180,"IgG+ Plasma cells","JSRP1"
"SSR4",1.73551188018146e-181,1.43357822181853,0.988,0.688,4.56439624487725e-177,"IgG+ Plasma cells","SSR4"
"ITM2C",4.21025262100177e-181,1.43682822211869,0.742,0.278,1.10729643932347e-176,"IgG+ Plasma cells","ITM2C"
"LMAN1",8.16262304651081e-181,1.15277813851493,0.644,0.203,2.14676986123234e-176,"IgG+ Plasma cells","LMAN1"
"PRDM1",2.3592462892074e-173,1.05394864393889,0.55,0.148,6.20481774061547e-169,"IgG+ Plasma cells","PRDM1"
"PRDX4",5.04693744277116e-167,1.37278057411646,0.756,0.301,1.32734454744882e-162,"IgG+ Plasma cells","PRDX4"
"HIST1H1C",2.36432672102768e-158,1.38614028913138,0.423,0.1,6.21817927630281e-154,"IgG+ Plasma cells","HIST1H1C"
"SEC11C",1.23453584394583e-156,1.26995637549417,0.851,0.426,3.24682926957753e-152,"IgG+ Plasma cells","SEC11C"
"FKBP2",1.04310752028436e-145,1.19076048385029,0.885,0.422,2.74337277834788e-141,"IgG+ Plasma cells","FKBP2"
"PPIB",1.21118846815196e-144,1.39031767445392,0.831,0.456,3.18542567123965e-140,"IgG+ Plasma cells","PPIB"
"SSR3",1.37665998974924e-143,1.12865400343059,0.828,0.394,3.62061577304051e-139,"IgG+ Plasma cells","SSR3"
"SDF2L1",9.31801626371461e-142,1.04215469404852,0.804,0.343,2.45063827735694e-137,"IgG+ Plasma cells","SDF2L1"
"RRBP1",3.16911872360994e-138,1.04086789427156,0.615,0.206,8.33478224309414e-134,"IgG+ Plasma cells","RRBP1"
"SPCS3",1.57019793967595e-137,1.13790796005529,0.717,0.309,4.12962058134775e-133,"IgG+ Plasma cells","SPCS3"
"VIMP",5.51932699237289e-136,0.99428569676461,0.826,0.365,1.45158299899407e-131,"IgG+ Plasma cells","VIMP"
"ERLEC1",4.93170103113086e-133,0.986057438951021,0.636,0.239,1.29703737118742e-128,"IgG+ Plasma cells","ERLEC1"
"DERL3",7.76933152763057e-132,1.28592549973199,0.794,0.351,2.04333419176684e-127,"IgG+ Plasma cells","DERL3"
"RPN2",6.32577294778769e-129,1.03596221781003,0.66,0.265,1.66367828526816e-124,"IgG+ Plasma cells","RPN2"
"CD38",2.96792080642933e-128,0.936565274868887,0.518,0.168,7.80563172090912e-124,"IgG+ Plasma cells","CD38"
"NUCB2",7.11120905050593e-119,0.816697284432408,0.545,0.183,1.87024798028306e-114,"IgG+ Plasma cells","NUCB2"
"P4HB",1.80393392335392e-118,1.03297249894836,0.712,0.333,4.74434621842081e-114,"IgG+ Plasma cells","P4HB"
"LINC00152",5.55429956473478e-116,0.95512584835351,0.553,0.195,1.46078078552525e-111,"IgG+ Plasma cells","LINC00152"
"JCHAIN",3.88543582093178e-110,1.21651605976803,0.625,0.301,1.02186962090506e-105,"IgG+ Plasma cells","JCHAIN"
"SEC61B",6.30994860696171e-106,0.916548343212999,0.886,0.586,1.65951648363093e-101,"IgG+ Plasma cells","SEC61B"
