"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS12",5.99294686701172e-254,0.540427652424747,0.998,0.985,1.57614502602408e-249,"0","RPS12"
"RPL30",7.67149061020917e-253,0.545167460129877,0.992,0.969,2.01760203048501e-248,"0","RPL30"
"RPS27",7.08247684644633e-230,0.534013716450959,1,0.991,1.86269141061538e-225,"0","RPS27"
"RPS29",4.27658441416273e-213,0.578146987414147,0.986,0.951,1.1247417009248e-208,"0","RPS29"
"RPL31",3.62033123607985e-212,0.504109294370826,0.996,0.973,9.52147115089002e-208,"0","RPL31"
"CXCR4",1.36186284861289e-137,0.544005233743502,0.902,0.648,3.58169929185189e-133,"0","CXCR4"
"HLA-DPB1",1.74962990162e-136,0.535946134136062,0.915,0.7,4.6015266412606e-132,"0","HLA-DPB1"
"CD52",2.6778553098287e-126,0.509308318020907,0.904,0.703,7.04275946484949e-122,"0","CD52"
"LTB",2.64592669589143e-101,0.531460610593616,0.723,0.502,6.95878721019445e-97,"0","LTB"
"GPR183",7.15775841253189e-97,0.710637758517698,0.517,0.336,1.88249046249589e-92,"0","GPR183"
"CD83",1.66180171358831e-82,0.685253629926733,0.536,0.365,4.37053850673726e-78,"0","CD83"
"BANK1",7.85481511426978e-82,0.57038333531762,0.523,0.339,2.06581637505295e-77,"0","BANK1"
"ARHGAP24",1.39021850620205e-74,0.63374307068382,0.373,0.218,3.65627467131139e-70,"0","ARHGAP24"
"ZFAS1",3.86312114924727e-69,0.504794434117128,0.703,0.613,1.01600086225203e-64,"0","ZFAS1"
"AC079767.4",1.35146994016516e-67,0.569961645420301,0.195,0.085,3.55436594263437e-63,"0","AC079767.4"
"CCR7",1.18828291903167e-51,0.578063196588278,0.276,0.158,3.12518407705328e-47,"0","CCR7"
"REL",7.57636743850673e-49,0.604490884887921,0.44,0.311,1.99258463632727e-44,"0","REL"
"LDLRAD4",8.04128825556823e-42,0.500496939311031,0.201,0.109,2.11485881121444e-37,"0","LDLRAD4"
"HLA-DRB5",2.49751431427177e-40,0.518207882964914,0.474,0.368,6.56846264653475e-36,"0","HLA-DRB5"
"RILPL2",1.27000099779431e-37,0.51805889627871,0.258,0.162,3.34010262419902e-33,"0","RILPL2"
"NR4A2",1.25173677056909e-27,0.518103178101449,0.435,0.359,3.29206770659671e-23,"0","NR4A2"
"CREM",1.25503255531007e-13,0.55741683850975,0.342,0.298,3.30073562046549e-09,"0","CREM"
"RP5-887A10.1",0,1.80287425747701,0.742,0.182,0,"1","RP5-887A10.1"
"RPLP2",0,0.600348717308504,0.999,0.992,0,"1","RPLP2"
"RPL11",1.33415705935874e-305,0.538043511784218,1,0.99,3.50883306611347e-301,"1","RPL11"
"RPL27A",5.43523127257183e-303,0.531957592619155,0.999,0.988,1.42946582468639e-298,"1","RPL27A"
"RPS3",1.14848428702489e-302,0.583755773448188,0.999,0.988,3.02051367487545e-298,"1","RPS3"
"RPL32",6.245383524511e-286,0.515724132240387,1,0.993,1.64253586694639e-281,"1","RPL32"
"RPS25",6.09150864762205e-280,0.545317431200777,0.998,0.983,1.6020667743246e-275,"1","RPS25"
"RPL311",1.6639942303475e-265,0.600434085029833,0.997,0.974,4.37630482581392e-261,"1","RPL31"
"RPS23",6.43160201105295e-238,0.519624066765275,0.998,0.986,1.69151132890693e-233,"1","RPS23"
"RPL301",1.27168995163081e-237,0.566585355160344,0.996,0.969,3.34454457278904e-233,"1","RPL30"
"RPS121",1.00072221242202e-233,0.558304548449065,0.997,0.986,2.6318994186699e-229,"1","RPS12"
"RPL21",2.33864315177388e-229,0.512512666704145,1,0.99,6.15063148916531e-225,"1","RPL21"
"RPS291",1.05958226955427e-208,0.611649190567455,0.983,0.952,2.78670136892772e-204,"1","RPS29"
"LTB1",5.79966770790639e-193,0.824637431058825,0.815,0.496,1.52531260717938e-188,"1","LTB"
"RPS271",3.40872459795771e-189,0.505276745105261,1,0.991,8.96494569262879e-185,"1","RPS27"
"RPL27",2.93966679754788e-188,0.50192589604323,0.982,0.95,7.73132367755092e-184,"1","RPL27"
"CXCR41",4.58160659351028e-184,0.676553461620623,0.947,0.649,1.2049625340932e-179,"1","CXCR4"
"RPL38",1.37078510276985e-181,0.571656511860669,0.964,0.93,3.60516482028471e-177,"1","RPL38"
"RPL39",5.95006227947726e-175,0.5165698497347,0.935,0.908,1.56486637950252e-170,"1","RPL39"
"GPR1831",9.50496421621498e-165,1.01551494793005,0.592,0.331,2.49980558886454e-160,"1","GPR183"
"HLA-DRA",5.93863366998015e-163,0.590938544566071,0.998,0.796,1.56186065520478e-158,"1","HLA-DRA"
"BANK11",4.44622449626329e-127,0.68895859471358,0.596,0.334,1.16935704251725e-122,"1","BANK1"
"RPS10",2.52702822313918e-121,0.503026647153814,0.94,0.885,6.64608422685604e-117,"1","RPS10"
"VPREB3",1.46485392235203e-119,0.618237181730179,0.71,0.454,3.85256581578583e-115,"1","VPREB3"
"RPSA",1.53888830046312e-118,0.530451208948474,0.943,0.873,4.04727623021801e-114,"1","RPSA"
"HLA-A",1.89500814454755e-118,0.513724587151058,0.948,0.886,4.98387142016006e-114,"1","HLA-A"
"TOMM7",3.37963524000812e-117,0.557964005726587,0.896,0.819,8.88844068122135e-113,"1","TOMM7"
"LY86",7.30941179070904e-108,0.67721990311938,0.45,0.235,1.92237530095648e-103,"1","LY86"
"ARHGAP241",1.20429862417529e-87,0.562985072215675,0.415,0.217,3.167305381581e-83,"1","ARHGAP24"
"SMIM14",2.69235509050811e-72,0.502446942063071,0.572,0.385,7.08089388803632e-68,"1","SMIM14"
"AL928768.3",2.92960550590445e-68,0.67825368849058,0.574,0.419,7.70486248052871e-64,"1","AL928768.3"
"MARCH1",9.29258474288133e-60,0.518366018840687,0.334,0.184,2.44394978737779e-55,"1","MARCH1"
"TNFRSF13B",1.90867926927043e-58,0.576469834814111,0.421,0.279,5.01982647818124e-54,"1","TNFRSF13B"
"KLF6",3.81755514966876e-52,0.540861819479741,0.673,0.57,1.00401700436288e-47,"1","KLF6"
"TXNIP",1.39301019104982e-45,0.574195622756469,0.547,0.42,3.66361680246102e-41,"1","TXNIP"
"IGHD",0,2.15274062295086,0.678,0.076,0,"2","IGHD"
"FCER2",0,1.60423753706697,0.514,0.092,0,"2","FCER2"
"TCL1A",0,1.40317230567189,0.525,0.114,0,"2","TCL1A"
"BTG1",0,1.07268472659154,0.975,0.884,0,"2","BTG1"
"RPL18A",0,0.624499138514941,1,0.993,0,"2","RPL18A"
"CD74",8.15655764719301e-296,0.840290394313476,1,0.956,2.14517466121176e-291,"2","CD74"
"HLA-DRA1",1.95591214405687e-290,0.943098330388928,0.997,0.798,5.14404893886957e-286,"2","HLA-DRA"
"CXCR42",2.49109957813469e-280,1.04825225898297,0.95,0.652,6.55159189049425e-276,"2","CXCR4"
"CD521",6.69515807870985e-248,0.939286991725912,0.95,0.704,1.76082657470069e-243,"2","CD52"
"LAPTM5",1.19612848430166e-247,1.00533031230966,0.868,0.604,3.14581791371337e-243,"2","LAPTM5"
"HLA-DPA1",1.9057159151282e-239,0.919306987959216,0.937,0.719,5.01203285678716e-235,"2","HLA-DPA1"
"HLA-DRB1",1.22587137144901e-235,1.00640733410253,0.922,0.687,3.2240417069109e-231,"2","HLA-DRB1"
"HLA-DPB11",1.83100214013445e-226,0.827864702327163,0.947,0.704,4.8155356285536e-222,"2","HLA-DPB1"
"RPS272",2.37250806580406e-226,0.564166871722446,1,0.991,6.23969621306468e-222,"2","RPS27"
"RPL211",5.40255772397853e-204,0.511759031643813,0.998,0.99,1.42087268140635e-199,"2","RPL21"
"HLA-DQA1",2.31204791450631e-203,0.917900546889862,0.835,0.589,6.08068601515161e-199,"2","HLA-DQA1"
"TMSB10",1.18928942430709e-202,0.667379986506906,0.988,0.963,3.12783118592765e-198,"2","TMSB10"
"CD37",4.39538065241052e-200,0.835773847790341,0.882,0.635,1.15598511158397e-195,"2","CD37"
"YBX3",1.00884170072049e-183,1.11272119109052,0.291,0.086,2.65325367289489e-179,"2","YBX3"
"CD72",1.69397186956682e-183,0.975077605798968,0.326,0.101,4.45514601696072e-179,"2","CD72"
"HLA-DQB1",1.65374720987036e-181,0.929490298460829,0.802,0.539,4.34935516195905e-177,"2","HLA-DQB1"
"CD831",1.3238667938043e-179,1.14918826195885,0.64,0.359,3.4817696677053e-175,"2","CD83"
"CD79A",7.44706080220611e-146,0.703270120561618,0.902,0.828,1.95857699098021e-141,"2","CD79A"
"H3F3A",7.34211230580386e-144,0.600052569214976,0.927,0.869,1.93097553642642e-139,"2","H3F3A"
"CD69",7.85550264459044e-144,0.935503579489905,0.781,0.584,2.06599719552729e-139,"2","CD69"
"FTH1",1.3877545346481e-137,0.765315494643685,0.995,0.978,3.6497944261245e-133,"2","FTH1"
"IL4R",1.77064519155449e-135,0.880309510943418,0.237,0.072,4.65679685378831e-131,"2","IL4R"
"HLA-DMA",2.24103650785608e-134,0.80071809290131,0.688,0.473,5.89392601566148e-130,"2","HLA-DMA"
"MS4A1",1.25437440087081e-128,0.622798090984023,0.782,0.483,3.29900467429024e-124,"2","MS4A1"
"RPSA1",3.23474994635235e-126,0.58873895731551,0.936,0.875,8.50739235890669e-122,"2","RPSA"
"SARAF",1.37479850614372e-115,1.02610323097265,0.53,0.316,3.61572007115798e-111,"2","SARAF"
"RPS17",1.23259963022354e-113,0.777278909367634,0.719,0.564,3.24173702748792e-109,"2","RPS17"
"HLA-DMB",7.29907756769212e-112,0.757237306104304,0.547,0.325,1.91965740030303e-107,"2","HLA-DMB"
