"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPR183",7.15775841253189e-97,0.710637758517698,0.517,0.336,1.88249046249589e-92,"0","GPR183"
"CD83",1.66180171358831e-82,0.685253629926733,0.536,0.365,4.37053850673726e-78,"0","CD83"
"ARHGAP24",1.39021850620205e-74,0.63374307068382,0.373,0.218,3.65627467131139e-70,"0","ARHGAP24"
"REL",7.57636743850673e-49,0.604490884887921,0.44,0.311,1.99258463632727e-44,"0","REL"
"RPS29",4.27658441416273e-213,0.578146987414147,0.986,0.951,1.1247417009248e-208,"0","RPS29"
"CCR7",1.18828291903167e-51,0.578063196588278,0.276,0.158,3.12518407705328e-47,"0","CCR7"
"BANK1",7.85481511426978e-82,0.57038333531762,0.523,0.339,2.06581637505295e-77,"0","BANK1"
"AC079767.4",1.35146994016516e-67,0.569961645420301,0.195,0.085,3.55436594263437e-63,"0","AC079767.4"
"CREM",1.25503255531007e-13,0.55741683850975,0.342,0.298,3.30073562046549e-09,"0","CREM"
"RPL30",7.67149061020917e-253,0.545167460129877,0.992,0.969,2.01760203048501e-248,"0","RPL30"
"CXCR4",1.36186284861289e-137,0.544005233743502,0.902,0.648,3.58169929185189e-133,"0","CXCR4"
"RPS12",5.99294686701172e-254,0.540427652424747,0.998,0.985,1.57614502602408e-249,"0","RPS12"
"HLA-DPB1",1.74962990162e-136,0.535946134136062,0.915,0.7,4.6015266412606e-132,"0","HLA-DPB1"
"RPS27",7.08247684644633e-230,0.534013716450959,1,0.991,1.86269141061538e-225,"0","RPS27"
"LTB",2.64592669589143e-101,0.531460610593616,0.723,0.502,6.95878721019445e-97,"0","LTB"
"HLA-DRB5",2.49751431427177e-40,0.518207882964914,0.474,0.368,6.56846264653475e-36,"0","HLA-DRB5"
"NR4A2",1.25173677056909e-27,0.518103178101449,0.435,0.359,3.29206770659671e-23,"0","NR4A2"
"RILPL2",1.27000099779431e-37,0.51805889627871,0.258,0.162,3.34010262419902e-33,"0","RILPL2"
"CD52",2.6778553098287e-126,0.509308318020907,0.904,0.703,7.04275946484949e-122,"0","CD52"
"ZFAS1",3.86312114924727e-69,0.504794434117128,0.703,0.613,1.01600086225203e-64,"0","ZFAS1"
"RP5-887A10.1",0,1.80287425747701,0.742,0.182,0,"1","RP5-887A10.1"
"GPR1831",9.50496421621498e-165,1.01551494793005,0.592,0.331,2.49980558886454e-160,"1","GPR183"
"LTB1",5.79966770790639e-193,0.824637431058825,0.815,0.496,1.52531260717938e-188,"1","LTB"
"BANK11",4.44622449626329e-127,0.68895859471358,0.596,0.334,1.16935704251725e-122,"1","BANK1"
"AL928768.3",2.92960550590445e-68,0.67825368849058,0.574,0.419,7.70486248052871e-64,"1","AL928768.3"
"LY86",7.30941179070904e-108,0.67721990311938,0.45,0.235,1.92237530095648e-103,"1","LY86"
"CXCR41",4.58160659351028e-184,0.676553461620623,0.947,0.649,1.2049625340932e-179,"1","CXCR4"
"VPREB3",1.46485392235203e-119,0.618237181730179,0.71,0.454,3.85256581578583e-115,"1","VPREB3"
"RPS291",1.05958226955427e-208,0.611649190567455,0.983,0.952,2.78670136892772e-204,"1","RPS29"
"RPL311",1.6639942303475e-265,0.600434085029833,0.997,0.974,4.37630482581392e-261,"1","RPL31"
"RPLP2",0,0.600348717308504,0.999,0.992,0,"1","RPLP2"
"HLA-DRA",5.93863366998015e-163,0.590938544566071,0.998,0.796,1.56186065520478e-158,"1","HLA-DRA"
"RPS3",1.14848428702489e-302,0.583755773448188,0.999,0.988,3.02051367487545e-298,"1","RPS3"
"TNFRSF13B",1.90867926927043e-58,0.576469834814111,0.421,0.279,5.01982647818124e-54,"1","TNFRSF13B"
"TXNIP",1.39301019104982e-45,0.574195622756469,0.547,0.42,3.66361680246102e-41,"1","TXNIP"
"RPL38",1.37078510276985e-181,0.571656511860669,0.964,0.93,3.60516482028471e-177,"1","RPL38"
"RPL301",1.27168995163081e-237,0.566585355160344,0.996,0.969,3.34454457278904e-233,"1","RPL30"
"ARHGAP241",1.20429862417529e-87,0.562985072215675,0.415,0.217,3.167305381581e-83,"1","ARHGAP24"
"RPS121",1.00072221242202e-233,0.558304548449065,0.997,0.986,2.6318994186699e-229,"1","RPS12"
