"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.61720045342239,0.701,0.032,0,"2_12_14","IGHD"
"2",0,1.86340509267383,0.534,0.06,0,"2_12_14","FCER2"
"3",0,1.63403067809419,0.53,0.086,0,"2_12_14","TCL1A"
"4",0,1.22786683640586,0.979,0.877,0,"2_12_14","BTG1"
"5",0,1.19243620049594,0.959,0.63,0,"2_12_14","CXCR4"
"6",0,1.18990684229507,0.932,0.669,0,"2_12_14","HLA-DRB1"
"7",0,1.14619841948069,0.885,0.583,0,"2_12_14","LAPTM5"
"8",0,1.11043957960713,0.349,0.082,0,"2_12_14","CD72"
"9",0,1.10398181389401,0.827,0.517,0,"2_12_14","HLA-DQB1"
"10",0,1.07055350214862,0.849,0.57,0,"2_12_14","HLA-DQA1"
"11",0,1.06706214904133,0.95,0.702,0,"2_12_14","HLA-DPA1"
"12",0,1.06671307848021,0.997,0.785,0,"2_12_14","HLA-DRA"
"13",0,1.06104330232186,0.954,0.687,0,"2_12_14","CD52"
"14",6.58991604088433e-274,1.22870795716163,0.635,0.341,1.73314791875258e-269,"2_12_14","CD83"
"15",1.04138432185533e-259,1.13722964899787,0.28,0.075,2.73884076647951e-255,"2_12_14","YBX3"
"16",1.12686265403428e-245,1.02993104333891,0.793,0.569,2.96364878011015e-241,"2_12_14","CD69"
"17",1.80515400728497e-243,1.16847255293895,0.567,0.295,4.74755503915947e-239,"2_12_14","SARAF"
"18",3.99576624870652e-136,1.41884010783716,0.398,0.222,1.05088652340981e-131,"2_12_14","CHMP1B"
"19",5.87596970321119e-124,1.07111430226497,0.522,0.356,1.54538003194454e-119,"2_12_14","HLA-DRB5"
"20",3.22447599350065e-79,1.04399845675633,0.413,0.283,8.48037186290672e-75,"2_12_14","CREM"
"21",0,7.26077468283005,0.978,0.316,0,"9","IGHG3"
"22",0,7.01378028795216,0.971,0.283,0,"9","IGHG1"
"23",0,6.83112371317217,0.946,0.25,0,"9","IGHG4"
"24",0,6.78772214307972,0.841,0.076,0,"9","IGHG2"
"25",0,4.58225399141581,0.453,0.007,0,"9","IGHGP"
"26",6.19953400916766e-267,2.00680925845968,0.955,0.443,1.63047744441109e-262,"9","MZB1"
"27",7.76293901296961e-265,1.93781652472417,0.933,0.403,2.04165296041101e-260,"9","XBP1"
"28",4.50416066009148e-215,1.58346648868456,0.85,0.331,1.18459425360406e-210,"9","FKBP11"
"29",9.04990543493729e-202,1.62701451367442,0.902,0.436,2.38012512938851e-197,"9","HSP90B1"
"30",5.52928531121589e-192,1.71713273536354,0.491,0.122,1.45420203684978e-187,"9","MYDGF"
"31",1.73551188018146e-181,1.43357822181853,0.988,0.688,4.56439624487725e-177,"9","SSR4"
"32",4.21025262100177e-181,1.43682822211869,0.742,0.278,1.10729643932347e-176,"9","ITM2C"
"33",1.21118846815196e-144,1.39031767445392,0.831,0.456,3.18542567123965e-140,"9","PPIB"
"34",4.4982455638327e-105,1.52848417437774,0.861,0.579,1.183038583288e-100,"9","NEAT1"
"35",3.29664180136583e-67,2.74206476026334,0.41,0.17,8.67016793759213e-63,"9","IGLL5"
"36",6.13166072757414e-61,1.685888669104,0.337,0.126,1.612626771352e-56,"9","IGLV6-57"
"37",1.6658696086547e-43,2.26813957320301,0.98,0.922,4.38123707076186e-39,"9","IGKC"
"38",4.45737818024944e-37,2.04446375474027,0.102,0.023,1.1722904614056e-32,"9","IGLV1-51"
"39",7.06428752701502e-33,2.92125799549915,0.825,0.699,1.85790761960495e-28,"9","IGLC2"
"40",2.6244699443018e-31,2.10066594820206,0.758,0.615,6.90235595351374e-27,"9","IGLC3"
"41",0,5.33203935029072,0.999,0.795,0,"3_4_6_8_15","IGHA1"
"42",0,5.08254135967134,0.806,0.276,0,"3_4_6_8_15","IGJ"
"43",0,4.72499035422691,0.972,0.352,0,"3_4_6_8_15","IGHA2"
"44",0,2.71085010899208,0.987,0.568,0,"3_4_6_8_15","SSR4"
"45",0,2.62353478963305,0.971,0.231,0,"3_4_6_8_15","MZB1"
"46",0,2.59823173813422,0.473,0.033,0,"3_4_6_8_15","AC096579.7"
"47",0,2.54224909303114,0.97,0.903,0,"3_4_6_8_15","IGKC"
"48",0,2.43788942975083,0.409,0.074,0,"3_4_6_8_15","IGLL5"
"49",0,2.21539117747271,0.407,0.075,0,"3_4_6_8_15","CCL3"
"50",0,2.13284284100439,0.821,0.113,0,"3_4_6_8_15","TNFRSF17"
"51",0,2.11274852944678,0.854,0.121,0,"3_4_6_8_15","FKBP11"
"52",0,2.10635535720123,0.894,0.209,0,"3_4_6_8_15","XBP1"
"53",0,2.10162378747895,0.879,0.242,0,"3_4_6_8_15","SEC11C"
"54",0,2.06636154282361,0.841,0.152,0,"3_4_6_8_15","DERL3"
"55",0,2.02286421944385,0.893,0.234,0,"3_4_6_8_15","FKBP2"
"56",0,1.9711670509281,0.811,0.177,0,"3_4_6_8_15","DNAJB9"
"57",1.84394734666428e-227,1.95502763477822,0.837,0.644,4.84958152172707e-223,"3_4_6_8_15","IGLC2"
"58",4.62150254092438e-186,2.42369706333498,0.742,0.566,1.21545516826311e-181,"3_4_6_8_15","IGLC3"
"59",7.76087665278714e-75,3.78876567557361,0.572,0.471,2.04111055968302e-70,"3_4_6_8_15","IGHM"
"60",7.55980950055513e-44,3.65616706242067,0.193,0.369,1.988229898646e-39,"3_4_6_8_15","JCHAIN"
"61",0,1.76114076583847,0.453,0.101,0,"0_1_5_7_14","RP5-887A10.1"
"62",0,1.55678159667421,0.561,0.221,0,"0_1_5_7_14","GPR183"
"63",0,1.29693546766371,0.781,0.357,0,"0_1_5_7_14","LTB"
"64",0,1.15221727246875,0.933,0.507,0,"0_1_5_7_14","CXCR4"
"65",0,1.15075917116527,0.583,0.21,0,"0_1_5_7_14","BANK1"
"66",0,1.01663106951057,0.407,0.121,0,"0_1_5_7_14","ARHGAP24"
"67",0,0.979530114109555,0.985,0.936,0,"0_1_5_7_14","RPS29"
"68",0,0.968651176574519,0.942,0.858,0,"0_1_5_7_14","HLA-A"
"69",0,0.967516522688678,0.996,0.695,0,"0_1_5_7_14","HLA-DRA"
"70",0,0.944736638867021,0.947,0.835,0,"0_1_5_7_14","RPSA"
"71",0,0.9391895141535,0.928,0.589,0,"0_1_5_7_14","HLA-DPB1"
"72",0,0.912584719571083,0.995,0.956,0,"0_1_5_7_14","RPL30"
"73",0,0.896827626737116,0.966,0.912,0,"0_1_5_7_14","RPL38"
"74",0,0.88637620466277,0.93,0.589,0,"0_1_5_7_14","CD52"
"75",0,0.883261148914548,1,0.988,0,"0_1_5_7_14","RPLP2"
"76",0,0.882013163874207,0.996,0.962,0,"0_1_5_7_14","RPL31"
"77",0,0.846345586392267,0.998,0.983,0,"0_1_5_7_14","RPS3"
"78",1.67160157887698e-294,0.844784645920599,0.712,0.488,4.39631215244645e-290,"0_1_5_7_14","RPS17"
"79",2.46390059490575e-257,0.925914397176266,0.409,0.215,6.48005856460213e-253,"0_1_5_7_14","TNFRSF13B"
"80",3.89667101529523e-228,0.985924597896092,0.548,0.355,1.02482447702264e-223,"0_1_5_7_14","TXNIP"
"81",0,3.06853625210924,0.729,0.235,0,"10_11","HMGB2"
"82",0,3.05424700311006,0.632,0.132,0,"10_11","STMN1"
"83",0,2.77873364992294,0.778,0.021,0,"10_11","RGS13"
"84",0,2.68268493869346,0.893,0.531,0,"10_11","HMGN2"
"85",0,2.66609559879527,0.877,0.107,0,"10_11","TCL1A"
"86",0,2.6490223352716,0.911,0.297,0,"10_11","MARCKSL1"
"87",0,2.59609755869022,0.981,0.601,0,"10_11","HMGN1"
"88",0,2.53498663407915,0.997,0.791,0,"10_11","ACTG1"
"89",0,2.35430890364093,0.991,0.8,0,"10_11","GAPDH"
"90",0,2.28046431093011,0.797,0.112,0,"10_11","LRMP"
"91",0,2.26148161000589,0.959,0.732,0,"10_11","HMGB1"
"92",0,2.22631368788548,0.999,0.906,0,"10_11","ACTB"
"93",0,2.16996131786066,0.503,0.03,0,"10_11","KIAA0101"
"94",0,2.07524996934882,0.797,0.226,0,"10_11","HMGA1"
