"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"KUL01-B","CMS1",0.570356651013015,0.829233617811029,0.701688266878081,0.726958990399796,0.001,0.00144117647058824
"KUL01-T","CMS1",0.591763990370087,0.828350979799416,0.699111707964118,0.667712292430902,0.001,0.00144117647058824
"KUL19-B","CMS3",0.727330408171529,0.647280626813903,0.616727941757657,0.759927505930461,0.001,0.00144117647058824
"KUL19-T","CMS2",0.730352896655114,0.643337287048546,0.732088759493715,0.711654705373789,0.001,0.00144117647058824
"KUL21-B","CMS4",0.588353993850108,0.770339103611559,0.686581032180735,0.563273081443403,0.001,0.00144117647058824
"KUL21-T","CMS4",0.604032859693908,0.776319321027021,0.695578701699161,0.538401170734101,0.001,0.00144117647058824
"KUL28-B",NA,0.810932025814108,0.70650363430914,0.70709864745691,0.822210020063523,1,1
"KUL28-T","CMS2",0.812100863592424,0.695383588779046,0.775780059962289,0.741792853042106,0.032967032967033,0.037567084078712
"KUL30-B","CMS2",0.734167417437889,0.618381233693715,0.655176274762532,0.780859809394066,0.001,0.00144117647058824
"KUL30-T","CMS2",0.734213181746812,0.645250012979849,0.665463817546589,0.799000649714432,0.001,0.00144117647058824
"KUL31-B","CMS2",0.803281583553261,0.616198555108416,0.65398839121792,0.770418368064993,0.001,0.00144117647058824
"KUL31-T","CMS2",0.840785280155912,0.680756381099707,0.696630704420878,0.82510399063088,0.001998001998002,0.00257637099742363
"scrEXT001","CMS1",0.590730360381863,0.828626475961685,0.699458795289844,0.66602965204957,0.001,0.00144117647058824
"scrEXT002","CMS1",0.569557138814946,0.829161381661501,0.702706387202219,0.725877394865454,0.001,0.00144117647058824
"scrEXT009","CMS2",0.72992019108424,0.645069632801557,0.73226826633408,0.706377851612935,0.001,0.00144117647058824
"scrEXT010","CMS3",0.718409507328111,0.647144575120187,0.617742762763799,0.74911564625259,0.001,0.00144117647058824
"scrEXT012","CMS4",0.605275427992574,0.775995070786411,0.695923888502054,0.531600921077114,0.001,0.00144117647058824
"scrEXT013","CMS4",0.587852167428844,0.770966510192999,0.687855544460086,0.556308547351317,0.001,0.00144117647058824
"scrEXT018",NA,0.769886448460328,0.666208428904359,0.758933037513136,0.704453276384526,0.045954045954046,0.05003885003885
"scrEXT019","CMS3",0.706164642277245,0.669619365106329,0.632374929665128,0.677241918619819,0.001,0.00144117647058824
"scrEXT021","CMS2",0.812100863592424,0.695383588779046,0.775780059962289,0.741792853042106,0.037962037962038,0.0422759059122695
"scrEXT022",NA,0.811042361081961,0.706776893201828,0.707484048308143,0.822080271017316,0.999000999000999,1
"scrEXT024",NA,0.788589353386732,0.714642963417787,0.772437819336778,0.74596841481835,1,1
"scrEXT025","CMS4",0.742639036883186,0.681342201777169,0.752903972409977,0.63167245067016,0.001,0.00144117647058824
"scrEXT027","CMS2",0.734325185867652,0.645267780899224,0.665595440369339,0.799038252911864,0.001,0.00144117647058824
"scrEXT028","CMS2",0.733876964573059,0.616741214108825,0.656875513759187,0.777016043321948,0.001,0.00144117647058824
"SMC01-T","CMS2",0.71329043287845,0.61600485762786,0.733911575209448,0.668658309451608,0.001,0.00144117647058824
"SMC02-T","CMS2",0.738238053816687,0.630100377741579,0.77372857381591,0.678252831858436,0.001,0.00144117647058824
"SMC03-T","CMS1",0.571542781164472,0.811836522432388,0.746971316004036,0.65745070529154,0.001,0.00144117647058824
"SMC04-T","CMS2",0.713103427703823,0.662711624001028,0.700419637723362,0.668029000335506,0.014985014985015,0.0183566433566434
"SMC05-T",NA,0.705757016689637,0.761653036700961,0.733863144089928,0.773183075023422,0.962037962037962,1
"SMC06-T","CMS1",0.664850905681373,0.748291255675978,0.722676525668227,0.728733611816924,0.024975024975025,0.0291375291375291
"SMC07-T","CMS2",0.747495564910902,0.623697491337242,0.753943271234085,0.633804285218013,0.001,0.00144117647058824
"SMC08-T","CMS2",0.780064943430454,0.617692429059543,0.772693139349722,0.730784319187857,0.001,0.00144117647058824
"SMC09-T","CMS2",0.703954755770635,0.643143853421315,0.757554441912539,0.742463987002179,0.001998001998002,0.00257637099742363
"SMC10-T","CMS1",0.587956520233278,0.744907649671151,0.708341504360754,0.705086948854298,0.001,0.00144117647058824
"SMC11-T","CMS2",0.713107747372389,0.639586310984497,0.779753018980736,0.67730281980553,0.001998001998002,0.00257637099742363
"SMC14-T","CMS4",0.619418529372054,0.68138520967987,0.697148724693637,0.542483014201502,0.001,0.00144117647058824
"SMC15-T","CMS4",0.708235167558567,0.669601937493206,0.683397376525269,0.614867877443574,0.001,0.00144117647058824
"SMC16-T","CMS1",0.645295055457082,0.795978693267805,0.660355180646817,0.741213595209558,0.022977022977023,0.0274603445335153
"SMC17-T","CMS1",0.563254466339315,0.775070964796721,0.633908820774858,0.665182975307464,0.001,0.00144117647058824
"SMC18-T","CMS2",0.784053764050845,0.590039200003302,0.727164504237566,0.758355298217509,0.001,0.00144117647058824
"SMC19-T","CMS3",0.744498744735593,0.697458886452184,0.571665651853434,0.740741392207516,0.001,0.00144117647058824
"SMC20-T","CMS4",0.648066187637537,0.799568066459282,0.62557067103979,0.598124227837221,0.001,0.00144117647058824
"SMC21-T","CMS2",0.742605456733815,0.597175812497558,0.724541411684247,0.704908702578409,0.001,0.00144117647058824
"SMC22-T","CMS2",0.735657146931258,0.639002503140793,0.694769088675191,0.768247312875734,0.002997002997003,0.00376546530392684
"SMC23-T","CMS2",0.738186445420168,0.640898041826479,0.675845677515716,0.682727477422111,0.001998001998002,0.00257637099742363
"SMC24-T","CMS1",0.586543469189838,0.787051867272305,0.669472930221379,0.668799652507988,0.001,0.00144117647058824
"SMC25-T","CMS2",0.739000214697601,0.64539192786555,0.736500792079223,0.718396573918213,0.001,0.00144117647058824
