"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TXN",2.16852374362668e-289,0.820638683779074,0.897,0.899,5.70321744573816e-285,"Immature Enterocytes","TXN"
"CYCS",2.290806882167e-137,0.822653703325237,0.727,0.808,6.0248221000992e-133,"Immature Enterocytes","CYCS"
"CA2",2.11507293309966e-111,1.28634553182794,0.687,0.748,5.56264181405211e-107,"Immature Enterocytes","CA2"
"ANXA2",6.80465674753303e-98,0.832557447329628,0.747,0.879,1.78962472460119e-93,"Immature Enterocytes","ANXA2"
"TSPAN8",9.32976663794895e-95,0.920167534504248,0.764,0.847,2.45372862578057e-90,"Immature Enterocytes","TSPAN8"
"MGST1",1.48877885561877e-67,0.804688026399753,0.61,0.704,3.91548839027737e-63,"Immature Enterocytes","MGST1"
"S100A11",4.38630236356593e-37,1.31922758344647,0.529,0.642,1.15359752161784e-32,"Immature Enterocytes","S100A11"
"CA1",1.26718071209718e-35,1.48051729743633,0.433,0.414,3.33268527281559e-31,"Immature Enterocytes","CA1"
"SLPI",6.56103554895225e-32,0.820357894972126,0.179,0.323,1.72555234937444e-27,"Immature Enterocytes","SLPI"
"HMGCS2",3.01221525181116e-31,0.83775747233605,0.578,0.742,7.92212611226335e-27,"Immature Enterocytes","HMGCS2"
"AKR1C3",3.76900372202387e-21,0.915091407882,0.443,0.517,9.91247978892279e-17,"Immature Enterocytes","AKR1C3"
"SUCLG2",1.44440164040567e-17,0.855400885473016,0.453,0.57,3.79877631426691e-13,"Immature Enterocytes","SUCLG2"
"UGT2B17",4.62233171430519e-17,1.09528918473395,0.409,0.451,1.21567324086226e-12,"Immature Enterocytes","UGT2B17"
"IFITM3",1.79416552012491e-10,1.03609536432831,0.291,0.455,4.71865531792851e-06,"Immature Enterocytes","IFITM3"
"HIST1H4C",0,2.44424305098322,0.724,0.328,0,"TA","HIST1H4C"
"HMGB2",0,2.40224055651121,0.92,0.312,0,"TA","HMGB2"
"TUBA1B",0,2.26007036499195,0.988,0.664,0,"TA","TUBA1B"
"UBE2C",0,2.18806017694958,0.666,0.045,0,"TA","UBE2C"
"PTTG1",0,2.14710499494063,0.686,0.093,0,"TA","PTTG1"
"STMN1",0,2.13204672714633,0.881,0.204,0,"TA","STMN1"
"H2AFZ",0,1.96578427938929,0.975,0.597,0,"TA","H2AFZ"
"TUBB",0,1.93329497072401,0.907,0.376,0,"TA","TUBB"
"HMGN2",0,1.53493227996226,0.959,0.601,0,"TA","HMGN2"
"CKS2",0,1.52316020726748,0.702,0.228,0,"TA","CKS2"
"CDC20",0,1.48268925028216,0.502,0.034,0,"TA","CDC20"
"CCNB1",0,1.46167504681923,0.462,0.036,0,"TA","CCNB1"
"HMGB1",0,1.45667552215474,0.981,0.738,0,"TA","HMGB1"
"TK1",0,1.39485783913197,0.646,0.086,0,"TA","TK1"
"CDK1",0,1.36356848552593,0.505,0.023,0,"TA","CDK1"
"CENPW",0,1.35659026729776,0.676,0.092,0,"TA","CENPW"
"TUBB4B",0,1.34049013015196,0.921,0.656,0,"TA","TUBB4B"
"ARL6IP1",0,1.30837746463554,0.734,0.399,0,"TA","ARL6IP1"
"KIAA0101",0,1.28069987342363,0.559,0.085,0,"TA","KIAA0101"
"CKS1B",0,1.2679340127688,0.762,0.253,0,"TA","CKS1B"
"KPNA2",0,1.26232877731315,0.401,0.061,0,"TA","KPNA2"
"CDKN3",0,1.25531709963145,0.528,0.045,0,"TA","CDKN3"
"RANBP1",0,1.21941854031711,0.888,0.489,0,"TA","RANBP1"
"CENPM",0,1.18934806830745,0.607,0.099,0,"TA","CENPM"
"DTYMK",0,1.14474424366308,0.668,0.161,0,"TA","DTYMK"
"BIRC5",0,1.13551405687555,0.516,0.038,0,"TA","BIRC5"
"CCNB2",0,1.07984867186704,0.444,0.047,0,"TA","CCNB2"
"NUSAP1",0,1.07017123068986,0.42,0.018,0,"TA","NUSAP1"
"ZWINT",0,1.05346348895431,0.57,0.095,0,"TA","ZWINT"
"DUT",0,1.0487864180994,0.78,0.387,0,"TA","DUT"
"TOP2A",0,1.02800536607508,0.421,0.021,0,"TA","TOP2A"
