"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-CYB",1.13003200707021e-270,0.657154586911173,0.989,0.935,2.97198417859465e-266,"0","MT-CYB"
"RPS2",1.67723992847356e-216,0.628964938449356,1,0.937,4.41114101188546e-212,"0","RPS2"
"RPLP0",2.1691456360296e-194,0.550396691478596,0.997,0.909,5.70485302275785e-190,"0","RPLP0"
"ATP5G2",2.37610403393659e-174,0.525859801756523,0.978,0.818,6.24915360925323e-170,"0","ATP5G2"
"RPS4X",1.13185832831068e-173,0.52050096493205,0.998,0.933,2.97678740345709e-169,"0","RPS4X"
"SNHG5",3.34324726773864e-160,0.697754088936461,0.787,0.491,8.79274031415262e-156,"0","SNHG5"
"C1QBP",5.8253565275733e-153,0.566381051156701,0.899,0.604,1.53206876675178e-148,"0","C1QBP"
"PRDX5",2.95358302127172e-140,0.527024695938985,0.981,0.852,7.76792334594463e-136,"0","PRDX5"
"LEFTY1",1.84635148262308e-135,0.618914205682661,0.656,0.37,4.85590439929869e-131,"0","LEFTY1"
"MLEC",6.76882456577223e-132,0.516152032025615,0.828,0.533,1.7802008607981e-127,"0","MLEC"
"NDUFB9",9.16962945552254e-129,0.543907767688253,0.91,0.696,2.41161254680243e-124,"0","NDUFB9"
"PYCARD",5.63623103125213e-126,0.53686178505355,0.84,0.569,1.48232876121931e-121,"0","PYCARD"
"HIST1H4C",0,1.68895704402255,0.873,0.386,0,"1","HIST1H4C"
"RETNLB",0,1.04625383055412,0.742,0.143,0,"1","RETNLB"
"RPS22",0,1.01705019599287,1,0.939,0,"1","RPS2"
"RPS5",0,0.922869633430106,1,0.903,0,"1","RPS5"
"RPS3",0,0.889256524536801,1,0.964,0,"1","RPS3"
"MT-ND1",0,0.871740902249758,0.997,0.907,0,"1","MT-ND1"
"RPS18",0,0.854821606145683,1,0.969,0,"1","RPS18"
"RPS9",0,0.847634513419301,1,0.937,0,"1","RPS9"
"RPL13",0,0.846104582328253,1,0.956,0,"1","RPL13"
"RPS14",0,0.844795744658812,1,0.975,0,"1","RPS14"
"RPL12",0,0.84101560574488,1,0.945,0,"1","RPL12"
"RPS19",0,0.83194067237035,1,0.94,0,"1","RPS19"
"RPL10",0,0.779610750464768,1,0.979,0,"1","RPL10"
"RPS15",0,0.757329959224125,1,0.961,0,"1","RPS15"
"RPL13A",0,0.705315248496598,1,0.983,0,"1","RPL13A"
"WFDC2",8.13264453791164e-302,0.608947901066741,0.845,0.319,2.13888551347076e-297,"1","WFDC2"
"PRDX51",1.64989916641173e-286,0.861973535615311,0.995,0.855,4.33923480766286e-282,"1","PRDX5"
"RPL32",1.36848526610583e-277,0.687311465350341,1,0.937,3.59911624985834e-273,"1","RPL32"
"RPL8",8.05273561113931e-272,0.632691710166553,1,0.966,2.11786946572964e-267,"1","RPL8"
"RPS8",5.89703383343257e-269,0.6801041216974,1,0.914,1.55091989819277e-264,"1","RPS8"
"RPL35",4.65457688567887e-261,0.67056084008698,1,0.908,1.22415372093354e-256,"1","RPL35"
"RPL18A",4.23463076985481e-256,0.663417378145842,1,0.935,1.11370789247182e-251,"1","RPL18A"
"RPL19",2.75817800446475e-254,0.613143682246385,1,0.952,7.25400815174229e-250,"1","RPL19"
"RPL36",1.22990154806328e-251,0.698000923084823,1,0.927,3.23464107140643e-247,"1","RPL36"
"RPS4X1",2.06261964514439e-251,0.741769708104727,1,0.934,5.42468966672975e-247,"1","RPS4X"
"RPL11",2.24762787375391e-245,0.578992685536868,1,0.968,5.91126130797278e-241,"1","RPL11"
"MCM7",2.80342052890698e-244,0.514599648782437,0.673,0.229,7.37299599102537e-240,"1","MCM7"
"MAZ",1.97026239846703e-240,0.626968468763093,0.763,0.306,5.18179010796829e-236,"1","MAZ"
"SNHG51",2.81488464853358e-228,0.832284465170028,0.943,0.49,7.4031466256433e-224,"1","SNHG5"
"RPS6",2.20543287853645e-224,0.649862306411355,1,0.955,5.80028847055086e-220,"1","RPS6"
"RPL15",4.98249821199838e-220,0.622911654611337,0.999,0.926,1.31039702975557e-215,"1","RPL15"
"FAU",2.99179332007364e-217,0.531671747940675,1,0.925,7.86841643179366e-213,"1","FAU"
"RPL7A",7.33279857654042e-215,0.638822243781695,1,0.901,1.92852602563013e-210,"1","RPL7A"
"RPL28",1.72390641062804e-214,0.557425211917917,1,0.943,4.53387385995175e-210,"1","RPL28"
"RPLP2",6.87577743839581e-214,0.567627038944189,1,0.954,1.8083294662981e-209,"1","RPLP2"
"MT-ND4",4.77081054445468e-213,0.65345576611919,0.999,0.948,1.25472317319158e-208,"1","MT-ND4"
"RPLP1",1.12149181345059e-210,0.561821929142085,1,0.97,2.94952346937504e-206,"1","RPLP1"
"NUPR1",1.36826087667432e-210,0.699840191467145,0.962,0.533,3.59852610565347e-206,"1","NUPR1"
"CENPM",3.62505957503234e-210,0.502984101885025,0.555,0.182,9.53390668233506e-206,"1","CENPM"
"FBL",4.3589299885804e-209,0.66145429698213,0.918,0.478,1.14639858699664e-204,"1","FBL"
"RPL29",1.36890838418752e-207,0.583512845974199,0.999,0.946,3.60022905041318e-203,"1","RPL29"
"RARRES2",2.63873850769558e-202,0.91321482363433,0.782,0.378,6.93988227523937e-198,"1","RARRES2"
"EEF1D",2.17370239197367e-195,0.620691665805452,0.994,0.81,5.71683729089075e-191,"1","EEF1D"
"NBEAL1",2.38643672697222e-194,0.743314375816233,0.979,0.682,6.27632859193693e-190,"1","NBEAL1"
"RPL27A",2.91228898741452e-187,0.533720781794114,1,0.941,7.65932003690019e-183,"1","RPL27A"
"GNB2L1",1.62986656545962e-184,0.586222748377597,0.999,0.908,4.28654906715879e-180,"1","GNB2L1"
"LSMD1",2.40480917966354e-184,0.647429542451299,0.878,0.439,6.32464814251511e-180,"1","LSMD1"
"RPL18",1.00063966632094e-179,0.531263991022779,0.998,0.946,2.63168232242406e-175,"1","RPL18"
"RPL10A",1.75398043359342e-179,0.592007639378486,1,0.873,4.6129685403507e-175,"1","RPL10A"
"RPL3",4.52191949243598e-178,0.57141282783836,1,0.946,1.18926482651066e-173,"1","RPL3"
"NHP2",1.33570803681295e-175,0.585799835941063,0.916,0.502,3.51291213681807e-171,"1","NHP2"
"SIVA1",2.19217907935916e-175,0.645128186200256,0.89,0.497,5.7654309787146e-171,"1","SIVA1"
"RPS7",1.47402407497513e-173,0.562086638949499,0.998,0.898,3.8766833171846e-169,"1","RPS7"
"MZT2A",1.49516445816763e-171,0.572761131797271,0.908,0.485,3.93228252498087e-167,"1","MZT2A"
"FOSB",2.73992243249964e-169,0.531878461879079,0.868,0.437,7.20599599747406e-165,"1","FOSB"
"RANBP1",4.06284277033022e-168,0.598523917305495,0.941,0.553,1.06852764859685e-163,"1","RANBP1"
"MLXIP",2.1419550690062e-167,0.544839671621792,0.8,0.391,5.63334183148632e-163,"1","MLXIP"
"LDHB",7.81562617659068e-165,0.573835892930857,0.922,0.486,2.05550968444335e-160,"1","LDHB"
"NENF",7.34092131610158e-162,0.502693719156206,0.844,0.429,1.93066230613472e-157,"1","NENF"
"RPS12",9.64809531470281e-162,0.557256682872715,1,0.932,2.53744906776684e-157,"1","RPS12"
"RPL14",2.23759070430388e-161,0.541802401798545,1,0.904,5.8848635523192e-157,"1","RPL14"
"ATP5G21",2.65173134330049e-160,0.563316890758611,0.994,0.821,6.97405343288029e-156,"1","ATP5G2"
"HMGB2",3.19708696201032e-159,0.503258154054718,0.824,0.412,8.40833871008713e-155,"1","HMGB2"
"NDUFB11",7.34206352615413e-158,0.601702161624171,0.986,0.737,1.93096270737854e-153,"1","NDUFB11"
"RPS16",7.48253468525605e-155,0.52793136345661,0.999,0.894,1.96790662222234e-150,"1","RPS16"
"MT-CYB1",9.31052208387874e-153,0.565747326759204,0.998,0.936,2.44866730806011e-148,"1","MT-CYB"
"GAS5",4.76252252738833e-152,0.653433558313939,0.933,0.541,1.25254342470313e-147,"1","GAS5"
"GSTP1",3.92216987458732e-148,0.528652180049627,0.995,0.831,1.03153067701646e-143,"1","GSTP1"
"RPSAP58",5.29247192612076e-147,0.534458683575289,0.872,0.458,1.39192011656976e-142,"1","RPSAP58"
