"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNHG5",3.34324726773864e-160,0.697754088936461,0.787,0.491,8.79274031415262e-156,"0","SNHG5"
"MT-CYB",1.13003200707021e-270,0.657154586911173,0.989,0.935,2.97198417859465e-266,"0","MT-CYB"
"RPS2",1.67723992847356e-216,0.628964938449356,1,0.937,4.41114101188546e-212,"0","RPS2"
"LEFTY1",1.84635148262308e-135,0.618914205682661,0.656,0.37,4.85590439929869e-131,"0","LEFTY1"
"C1QBP",5.8253565275733e-153,0.566381051156701,0.899,0.604,1.53206876675178e-148,"0","C1QBP"
"RPLP0",2.1691456360296e-194,0.550396691478596,0.997,0.909,5.70485302275785e-190,"0","RPLP0"
"NDUFB9",9.16962945552254e-129,0.543907767688253,0.91,0.696,2.41161254680243e-124,"0","NDUFB9"
"PYCARD",5.63623103125213e-126,0.53686178505355,0.84,0.569,1.48232876121931e-121,"0","PYCARD"
"PRDX5",2.95358302127172e-140,0.527024695938985,0.981,0.852,7.76792334594463e-136,"0","PRDX5"
"ATP5G2",2.37610403393659e-174,0.525859801756523,0.978,0.818,6.24915360925323e-170,"0","ATP5G2"
"RPS4X",1.13185832831068e-173,0.52050096493205,0.998,0.933,2.97678740345709e-169,"0","RPS4X"
"MLEC",6.76882456577223e-132,0.516152032025615,0.828,0.533,1.7802008607981e-127,"0","MLEC"
"HIST1H4C",0,1.68895704402255,0.873,0.386,0,"1","HIST1H4C"
"RETNLB",0,1.04625383055412,0.742,0.143,0,"1","RETNLB"
"RPS22",0,1.01705019599287,1,0.939,0,"1","RPS2"
"RPS5",0,0.922869633430106,1,0.903,0,"1","RPS5"
"RARRES2",2.63873850769558e-202,0.91321482363433,0.782,0.378,6.93988227523937e-198,"1","RARRES2"
"RPS3",0,0.889256524536801,1,0.964,0,"1","RPS3"
"MT-ND1",0,0.871740902249758,0.997,0.907,0,"1","MT-ND1"
"PRDX51",1.64989916641173e-286,0.861973535615311,0.995,0.855,4.33923480766286e-282,"1","PRDX5"
"RPS18",0,0.854821606145683,1,0.969,0,"1","RPS18"
"RPS9",0,0.847634513419301,1,0.937,0,"1","RPS9"
"RPL13",0,0.846104582328253,1,0.956,0,"1","RPL13"
"RPS14",0,0.844795744658812,1,0.975,0,"1","RPS14"
"RPL12",0,0.84101560574488,1,0.945,0,"1","RPL12"
"SNHG51",2.81488464853358e-228,0.832284465170028,0.943,0.49,7.4031466256433e-224,"1","SNHG5"
"RPS19",0,0.83194067237035,1,0.94,0,"1","RPS19"
