"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"REG4",0,2.11291808123151,0.847,0.082,0,"CMS1","REG4"
"AGR2",0,1.70037593407257,0.971,0.824,0,"CMS1","AGR2"
"S100P",0,1.65710768452202,0.935,0.769,0,"CMS1","S100P"
"ISG15",0,1.53829412469669,0.831,0.544,0,"CMS1","ISG15"
"CTSE",0,1.1964241689975,0.416,0.06,0,"CMS1","CTSE"
"NDUFA4L2",0,1.18460585428269,0.341,0.031,0,"CMS1","NDUFA4L2"
"KRT7",0,1.11815854667837,0.563,0.146,0,"CMS1","KRT7"
"MDK",0,1.04751221667109,0.891,0.635,0,"CMS1","MDK"
"CD55",0,1.03432673850016,0.774,0.518,0,"CMS1","CD55"
"PLAC8",0,1.00595892336928,0.558,0.292,0,"CMS1","PLAC8"
"MAL2",0,0.999043294241177,0.842,0.694,0,"CMS1","MAL2"
"LYZ",0,0.994139949539342,0.773,0.475,0,"CMS1","LYZ"
"TIMP1",0,0.982770336797662,0.91,0.751,0,"CMS1","TIMP1"
"PLA2G16",0,0.957160089849841,0.756,0.441,0,"CMS1","PLA2G16"
"SERPINA1",0,0.942421762129305,0.486,0.243,0,"CMS1","SERPINA1"
"AGR3",0,0.936290763785873,0.784,0.339,0,"CMS1","AGR3"
"MYL12A",0,0.916344601327901,0.928,0.822,0,"CMS1","MYL12A"
"CYSTM1",0,0.901838040777401,0.925,0.774,0,"CMS1","CYSTM1"
"ISG20",0,0.868466715461716,0.551,0.314,0,"CMS1","ISG20"
"ANXA10",0,0.861870717942556,0.318,0.003,0,"CMS1","ANXA10"
"ZG16B",0,0.836999105541142,0.55,0.331,0,"CMS1","ZG16B"
"BST2",0,0.809581417530941,0.514,0.315,0,"CMS1","BST2"
"MYL12B",0,0.807275124772564,0.954,0.863,0,"CMS1","MYL12B"
"RAMP1",0,0.804247147193299,0.654,0.184,0,"CMS1","RAMP1"
"SMIM24",1.78767757318884e-298,0.831709889832075,0.416,0.231,4.70159201748664e-294,"CMS1","SMIM24"
"PI3",1.98929543419949e-296,1.07479678178211,0.454,0.252,5.23184699194466e-292,"CMS1","PI3"
"IFI6",2.28789990300833e-280,1.55227544283207,0.606,0.454,6.01717674491191e-276,"CMS1","IFI6"
"KRT17",1.6641390972291e-267,0.968893279848327,0.308,0.131,4.37668582571253e-263,"CMS1","KRT17"
"SLPI",3.49001205414255e-197,0.867769311115848,0.766,0.631,9.1787317023949e-193,"CMS1","SLPI"
"FABP1",0,2.49152243364085,0.771,0.278,0,"CMS2","FABP1"
"CCL20",0,1.73080708108275,0.651,0.282,0,"CMS2","CCL20"
"CXCL3",0,1.71575246938653,0.718,0.514,0,"CMS2","CXCL3"
"CXCL2",0,1.43869342699716,0.64,0.371,0,"CMS2","CXCL2"
"EREG",0,1.31358226211855,0.527,0.088,0,"CMS2","EREG"
"DPEP1",0,1.23900447274145,0.696,0.185,0,"CMS2","DPEP1"
"OLFM4",0,1.1203238853073,0.514,0.113,0,"CMS2","OLFM4"
"ID1",0,1.08655377819513,0.706,0.443,0,"CMS2","ID1"
"LDHB",0,1.04955855418443,0.804,0.577,0,"CMS2","LDHB"
"GGH",0,1.03984078879555,0.737,0.375,0,"CMS2","GGH"
"SPINK1",0,1.03286067759504,0.784,0.408,0,"CMS2","SPINK1"
"FTL",0,1.0220718409177,0.994,0.987,0,"CMS2","FTL"
"RPS4Y1",0,0.973551278626196,0.366,0.083,0,"CMS2","RPS4Y1"
"RPL10",0,0.942788734929595,0.998,0.996,0,"CMS2","RPL10"
"FGGY",0,0.934414175104209,0.406,0.174,0,"CMS2","FGGY"
"SLC25A6",0,0.922844477903466,0.935,0.92,0,"CMS2","SLC25A6"
"C10orf99",0,0.863823641268741,0.587,0.085,0,"CMS2","C10orf99"
"FABP5",0,0.84669543595203,0.786,0.554,0,"CMS2","FABP5"
"ASCL2",0,0.84247995473646,0.644,0.252,0,"CMS2","ASCL2"
"AREG",0,0.831963376957346,0.764,0.546,0,"CMS2","AREG"
"EIF6",0,0.818810369610365,0.859,0.717,0,"CMS2","EIF6"
"CKB",1.95825770797819e-188,1.55484096215212,0.615,0.528,5.15021777198265e-184,"CMS2","CKB"
"CXCL1",1.2427826846398e-165,0.850681967490874,0.636,0.507,3.26851846060269e-161,"CMS2","CXCL1"
"IGHA2",2.63554599823544e-297,1.67046891185177,0.426,0.086,6.93148597535921e-293,"CMS3","IGHA2"
"IGHA1",1.38770401217023e-275,1.99706802135393,0.771,0.372,3.6496615520077e-271,"CMS3","IGHA1"
"IGKC",6.42312321927933e-197,1.12410668544519,0.916,0.712,1.68928140667046e-192,"CMS3","IGKC"
"JCHAIN",2.79280242378833e-144,1.48656409840723,0.492,0.191,7.34507037456331e-140,"CMS3","JCHAIN"
"IGLC2",2.23088727197646e-143,0.967846542442367,0.687,0.37,5.86723352529809e-139,"CMS3","IGLC2"
"RP11-462G2.1",4.46921927502695e-129,1.28992447860982,0.448,0.175,1.17540466933209e-124,"CMS3","RP11-462G2.1"
"IGLC3",5.31131984081531e-119,0.914601308730998,0.558,0.252,1.39687711813443e-114,"CMS3","IGLC3"
"VSIG2",9.97679404008209e-108,0.825535401766121,0.369,0.139,2.62389683254159e-103,"CMS3","VSIG2"
"PHGR1",2.55962528102782e-76,0.822811707345003,0.951,0.849,6.73181448910316e-72,"CMS3","PHGR1"
"C15orf48",2.61371268897645e-63,1.14986117349936,0.741,0.649,6.87406437200806e-59,"CMS3","C15orf48"
"SPINK11",7.06207834221636e-50,0.865238027514462,0.701,0.584,1.8573266040029e-45,"CMS3","SPINK1"
"LEFTY1",2.12794648658854e-47,1.35570033989111,0.368,0.216,5.59649925972785e-43,"CMS3","LEFTY1"
