"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"APOE",0,4.30362228474187,0.781,0.156,0,"Anti-inflammatory macro/mono","APOE"
"APOC1",0,3.73664837370395,0.703,0.13,0,"Anti-inflammatory macro/mono","APOC1"
"RNASE1",0,3.67991110569253,0.65,0.084,0,"Anti-inflammatory macro/mono","RNASE1"
"SEPP1",0,3.11502261695334,0.594,0.092,0,"Anti-inflammatory macro/mono","SEPP1"
"MMP12",0,2.87478141919544,0.337,0.049,0,"Anti-inflammatory macro/mono","MMP12"
"C1QB",0,2.67648605697856,0.87,0.232,0,"Anti-inflammatory macro/mono","C1QB"
"CTSD",0,2.55451398185522,0.942,0.556,0,"Anti-inflammatory macro/mono","CTSD"
"SPP1",0,2.46465270343618,0.411,0.14,0,"Anti-inflammatory macro/mono","SPP1"
"C1QA",0,2.45822525917956,0.893,0.28,0,"Anti-inflammatory macro/mono","C1QA"
"C1QC",0,2.38767993176885,0.857,0.212,0,"Anti-inflammatory macro/mono","C1QC"
"GPNMB",0,2.37829056212039,0.72,0.109,0,"Anti-inflammatory macro/mono","GPNMB"
"LGMN",0,2.30474381281531,0.75,0.214,0,"Anti-inflammatory macro/mono","LGMN"
"NUPR1",0,2.10344178027183,0.404,0.041,0,"Anti-inflammatory macro/mono","NUPR1"
"SLC40A1",0,2.04809842897972,0.518,0.1,0,"Anti-inflammatory macro/mono","SLC40A1"
"FUCA1",0,1.92841362273351,0.475,0.094,0,"Anti-inflammatory macro/mono","FUCA1"
"CTSB",0,1.79926114278454,0.955,0.691,0,"Anti-inflammatory macro/mono","CTSB"
"FOLR2",0,1.74849800239866,0.399,0.052,0,"Anti-inflammatory macro/mono","FOLR2"
"DAB2",0,1.7403891897799,0.677,0.131,0,"Anti-inflammatory macro/mono","DAB2"
"ACP5",0,1.72911043172921,0.717,0.294,0,"Anti-inflammatory macro/mono","ACP5"
"FTL",0,1.64602636726841,1,0.999,0,"Anti-inflammatory macro/mono","FTL"
