"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCL18",0,2.55874980385766,0.496,0.123,0,"0","CCL18"
"APOE",0,1.99698616726329,0.912,0.478,0,"0","APOE"
"SPP1",0,1.5357967038774,0.761,0.233,0,"0","SPP1"
"APOC1",0,1.47612669480385,0.843,0.416,0,"0","APOC1"
"NUPR1",0,1.31909774869495,0.581,0.204,0,"0","NUPR1"
"TREM2",0,1.30728586992717,0.675,0.202,0,"0","TREM2"
"CTSD",0,1.28146718773609,0.99,0.792,0,"0","CTSD"
"CTSB",0,1.24411271162555,0.996,0.883,0,"0","CTSB"
"CTSL",0,1.20719135888049,0.908,0.621,0,"0","CTSL"
"GPNMB",0,1.13262751273162,0.875,0.441,0,"0","GPNMB"
"MSR1",0,1.1040121881619,0.733,0.283,0,"0","MSR1"
"CD9",0,1.09570436887765,0.824,0.396,0,"0","CD9"
"CAPG",0,1.05940912860921,0.91,0.578,0,"0","CAPG"
"FCGR3A",0,1.03805629202311,0.83,0.45,0,"0","FCGR3A"
"MMP14",0,0.97933632420732,0.7,0.286,0,"0","MMP14"
"FABP5",0,0.971329359832015,0.796,0.44,0,"0","FABP5"
"CTSZ",0,0.909112901892458,0.939,0.657,0,"0","CTSZ"
"PLAU",0,0.900372853412445,0.565,0.193,0,"0","PLAU"
"SLC16A10",0,0.751457645676298,0.498,0.152,0,"0","SLC16A10"
"GPX3",0,0.718971319794678,0.5,0.159,0,"0","GPX3"
"LHFPL2",0,0.713331689011447,0.502,0.157,0,"0","LHFPL2"
"CD81",4.82857293096123e-298,0.759167608516482,0.796,0.439,1.2699146808428e-293,"0","CD81"
"GCHFR",1.69839227165294e-296,0.918563187561076,0.463,0.153,4.46677167444723e-292,"0","GCHFR"
"TSC22D1",9.90163790503675e-281,0.902225618948293,0.552,0.222,2.60413076902466e-276,"0","TSC22D1"
"FCGR2A",5.24509958615334e-277,0.89744639815792,0.89,0.616,1.37946119115833e-272,"0","FCGR2A"
"MMP9",9.01582104938667e-270,1.19770757816442,0.559,0.237,2.37116093598869e-265,"0","MMP9"
"TIMP2",7.38925716217174e-268,0.679874875104333,0.732,0.37,1.94337463365117e-263,"0","TIMP2"
"CD68",6.71648313825776e-261,0.760173801638269,0.89,0.668,1.76643506536179e-256,"0","CD68"
"LAPTM5",5.26737232064866e-242,0.636228696512209,0.956,0.841,1.3853189203306e-237,"0","LAPTM5"
"CXCL16",1.77580920088028e-239,0.689238437751061,0.762,0.448,4.67037819831512e-235,"0","CXCL16"
"MMP12",3.77236089983399e-235,2.08222849539673,0.45,0.179,9.92130916656338e-231,"0","MMP12"
"CXCL1",9.86891440230546e-226,1.14995406785517,0.528,0.235,2.59552448780634e-221,"0","CXCL1"
"LAMP1",4.87739601821247e-222,0.657821925415132,0.792,0.473,1.28275515278988e-217,"0","LAMP1"
"HEXB",6.45301873473677e-222,0.66789767585774,0.747,0.443,1.69714392723577e-217,"0","HEXB"
"IL7R",1.00429238582271e-216,0.742734994425973,0.453,0.17,2.64128897471374e-212,"0","IL7R"
"SLCO2B1",4.24252976738209e-215,0.552946933689003,0.63,0.302,1.11578532882149e-210,"0","SLCO2B1"
"GLUL",1.98401643874693e-212,0.663065895410576,0.955,0.804,5.21796323390442e-208,"0","GLUL"
"PLD3",1.20662692036375e-211,0.669123683471801,0.776,0.458,3.17342880055666e-207,"0","PLD3"
"ALCAM",1.06606673232592e-207,0.539838690090971,0.428,0.163,2.80375550601716e-203,"0","ALCAM"
"ADAM8",3.31871658391021e-205,0.542417279781967,0.403,0.144,8.72822461568384e-201,"0","ADAM8"
"CD84",1.62315589687421e-196,0.504310531648758,0.527,0.238,4.26890000877917e-192,"0","CD84"
"SLC16A3",9.80117279768421e-194,0.577859058685796,0.761,0.445,2.57770844579095e-189,"0","SLC16A3"
"FCGR1A",1.09906370498709e-192,0.602899534712322,0.526,0.241,2.89053754411606e-188,"0","FCGR1A"
"HIF1A",3.79347379237949e-192,0.577180904108043,0.785,0.462,9.97683607395805e-188,"0","HIF1A"
"VMO1",5.35895503540016e-191,0.667894487441881,0.442,0.18,1.40940517431024e-186,"0","VMO1"
"ANXA2",3.30312977653227e-189,0.59463870740672,0.937,0.776,8.68723131227987e-185,"0","ANXA2"
"GSN",7.89167865971497e-187,0.593362870730756,0.728,0.424,2.07551148750504e-182,"0","GSN"
"ARID5B",4.53585156314976e-185,0.569955486859232,0.345,0.12,1.19292896110839e-180,"0","ARID5B"
"FPR3",7.84113835546678e-184,0.587987849916345,0.712,0.404,2.06221938748776e-179,"0","FPR3"
"NGFRAP1",1.33078148414849e-181,0.609268108530005,0.505,0.231,3.49995530331053e-177,"0","NGFRAP1"
"RGS1",4.26348079146393e-180,0.693777663433275,0.844,0.57,1.12129544815501e-175,"0","RGS1"
"SDC2",1.27227501522662e-178,0.539899413583477,0.418,0.165,3.34608329004601e-174,"0","SDC2"
"GM2A",2.05990947055366e-177,0.55283206311114,0.607,0.311,5.41756190755614e-173,"0","GM2A"
"CCL13",2.62964552626892e-176,0.97351113887546,0.263,0.076,6.91596773408727e-172,"0","CCL13"
"PMP22",1.40119548336861e-175,0.501590108526219,0.699,0.391,3.68514412125945e-171,"0","PMP22"
"GRN",3.34414267287673e-170,0.576461509249983,0.925,0.758,8.79509522966581e-166,"0","GRN"
"PLA2G7",2.08189475149046e-166,0.759208587226486,0.634,0.364,5.4753831964199e-162,"0","PLA2G7"
"CCL2",7.27424659536941e-164,0.754463251552658,0.486,0.229,1.91312685458216e-159,"0","CCL2"
"CHI3L1",8.30969120652692e-161,0.740314506198563,0.156,0.028,2.18544878731658e-156,"0","CHI3L1"
"RCAN1",4.89794759995538e-156,0.676452052962458,0.312,0.113,1.28816021878827e-151,"0","RCAN1"
"IFI27",7.0795053225482e-154,1.19452909398463,0.527,0.274,1.86190989983018e-149,"0","IFI27"
"HMOX1",2.66432439881022e-150,0.70387746661045,0.613,0.34,7.00717316887087e-146,"0","HMOX1"
"IFI6",1.15195177737306e-149,0.861942022784674,0.688,0.434,3.02963317449114e-145,"0","IFI6"
"LILRB4",2.36330944833443e-142,0.529711162874805,0.603,0.349,6.21550384911956e-138,"0","LILRB4"
"ASAH1",9.10440344488867e-139,0.51132047563633,0.875,0.693,2.39445810600572e-134,"0","ASAH1"
"IGHG4",1.79525104945005e-138,0.526560811858586,0.519,0.264,4.72151026005363e-134,"0","IGHG4"
"SGK1",5.39929084776867e-135,0.612776595120549,0.774,0.518,1.42001349296316e-130,"0","SGK1"
"TGFBI",4.54277381638635e-127,0.676384655062484,0.828,0.605,1.19474951370961e-122,"0","TGFBI"
"ABL2",1.00231700834905e-121,0.571110738611002,0.537,0.301,2.636093731958e-117,"0","ABL2"
"IGHG3",1.03392652940148e-112,0.581013395206798,0.457,0.237,2.71922677232589e-108,"0","IGHG3"
"CCL8",6.38076857398579e-110,0.814204632100725,0.162,0.044,1.67814213495826e-105,"0","CCL8"
"CCL5",3.73572203629939e-103,0.620200321076052,0.289,0.127,9.8249489554674e-99,"0","CCL5"
"CXCL5",8.40118212860296e-86,0.790453561829291,0.164,0.054,2.20951089982258e-81,"0","CXCL5"
"TNF",1.59927878237062e-70,0.711645458376986,0.331,0.187,4.20610319763473e-66,"0","TNF"
