"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCL18",0,2.55874980385766,0.496,0.123,0,"0","CCL18"
"MMP12",3.77236089983399e-235,2.08222849539673,0.45,0.179,9.92130916656338e-231,"0","MMP12"
"APOE",0,1.99698616726329,0.912,0.478,0,"0","APOE"
"SPP1",0,1.5357967038774,0.761,0.233,0,"0","SPP1"
"APOC1",0,1.47612669480385,0.843,0.416,0,"0","APOC1"
"NUPR1",0,1.31909774869495,0.581,0.204,0,"0","NUPR1"
"TREM2",0,1.30728586992717,0.675,0.202,0,"0","TREM2"
"CTSD",0,1.28146718773609,0.99,0.792,0,"0","CTSD"
"CTSB",0,1.24411271162555,0.996,0.883,0,"0","CTSB"
"CTSL",0,1.20719135888049,0.908,0.621,0,"0","CTSL"
"MMP9",9.01582104938667e-270,1.19770757816442,0.559,0.237,2.37116093598869e-265,"0","MMP9"
"IFI27",7.0795053225482e-154,1.19452909398463,0.527,0.274,1.86190989983018e-149,"0","IFI27"
"CXCL1",9.86891440230546e-226,1.14995406785517,0.528,0.235,2.59552448780634e-221,"0","CXCL1"
"GPNMB",0,1.13262751273162,0.875,0.441,0,"0","GPNMB"
"MSR1",0,1.1040121881619,0.733,0.283,0,"0","MSR1"
"CD9",0,1.09570436887765,0.824,0.396,0,"0","CD9"
"CAPG",0,1.05940912860921,0.91,0.578,0,"0","CAPG"
"FCGR3A",0,1.03805629202311,0.83,0.45,0,"0","FCGR3A"
"MMP1",5.51216226370665e-54,1.00969843294585,0.172,0.078,1.44969867535485e-49,"0","MMP1"
"MMP14",0,0.97933632420732,0.7,0.286,0,"0","MMP14"
"CCL20",0,2.65049879071657,0.65,0.269,0,"1","CCL20"
"CCL3L3",0,2.624924554976,0.814,0.376,0,"1","CCL3L3"
"C15orf48",0,2.54253410932747,0.907,0.556,0,"1","C15orf48"
"CXCL8",0,2.48602522983938,0.923,0.547,0,"1","CXCL8"
"IL1RN",0,2.4855800734775,0.823,0.309,0,"1","IL1RN"
"TIMP1",0,2.34208030823449,0.937,0.745,0,"1","TIMP1"
"IL1B",0,2.30614791577713,0.931,0.545,0,"1","IL1B"
"PTGS2",0,2.22133998818663,0.7,0.305,0,"1","PTGS2"
"EREG",0,2.1974548212056,0.735,0.262,0,"1","EREG"
"G0S2",0,2.08530533416754,0.814,0.361,0,"1","G0S2"
"SOD2",0,2.07055844328074,0.984,0.771,0,"1","SOD2"
"CCL3",0,2.03068949179723,0.891,0.641,0,"1","CCL3"
"CCL4L2",2.36969759451388e-289,1.9529200879749,0.71,0.374,6.2323046735715e-285,"1","CCL4L2"
"BCL2A1",0,1.90073449259119,0.904,0.51,0,"1","BCL2A1"
"CXCL3",6.52449721898816e-244,1.85968134558815,0.752,0.477,1.71594276859389e-239,"1","CXCL3"
"TNFAIP6",0,1.79645037587721,0.405,0.09,0,"1","TNFAIP6"
"INHBA",0,1.73457828885996,0.449,0.131,0,"1","INHBA"
"CXCL2",0,1.73398705621553,0.816,0.537,0,"1","CXCL2"
"CXCL51",7.3392217990933e-55,1.73108825848902,0.152,0.063,1.93021533316154e-50,"1","CXCL5"
"CCL4",9.78965674294279e-263,1.66514532627999,0.802,0.53,2.57467972339395e-258,"1","CCL4"
"MT-RNR2",0,2.64716208383714,0.495,0.101,0,"2","MT-RNR2"
"IGJ",0,2.56162380875953,0.482,0.095,0,"2","IGJ"
"MT-RNR1",0,2.27235184335123,0.495,0.095,0,"2","MT-RNR1"
"IL8",0,1.90093050628375,0.342,0.043,0,"2","IL8"
"IGHA1",0,1.77047659241783,0.862,0.45,0,"2","IGHA1"
"SLC40A1",0,1.58526366727638,0.828,0.28,0,"2","SLC40A1"
"FUCA1",0,1.55047948146964,0.745,0.266,0,"2","FUCA1"
"LIPA",0,1.36408019727711,0.841,0.433,0,"2","LIPA"
"C17orf76-AS1",0,1.36347217543047,0.449,0.077,0,"2","C17orf76-AS1"
"SNHG5",0,1.29589040325019,0.406,0.062,0,"2","SNHG5"
"DNASE1L3",0,1.27681081447051,0.6,0.1,0,"2","DNASE1L3"
"SEPP1",0,1.2380145289174,0.776,0.351,0,"2","SEPP1"
"AXL",0,1.0193464119218,0.639,0.159,0,"2","AXL"
"IGF1",0,1.01448851851357,0.506,0.101,0,"2","IGF1"
"ADAMDEC1",0,0.917500990339685,0.578,0.158,0,"2","ADAMDEC1"
"TMEM66",0,0.884036072687972,0.386,0.056,0,"2","TMEM66"
"MPEG1",0,0.877561213308127,0.821,0.378,0,"2","MPEG1"
"IGLC3",9.11175204965391e-117,0.874523959945931,0.523,0.263,2.39639078905898e-112,"2","IGLC3"
"FGL2",0,0.869888829702328,0.903,0.486,0,"2","FGL2"
"ACP5",2.56373436168828e-268,0.842544821556828,0.895,0.507,6.74262137124017e-264,"2","ACP5"
"LYVE1",0,3.0376783122574,0.551,0.017,0,"3","LYVE1"
"F13A1",0,2.85769153881696,0.807,0.157,0,"3","F13A1"
"FOLR2",0,2.49011638835133,0.824,0.215,0,"3","FOLR2"
"RNASE1",0,2.42157617004493,0.877,0.424,0,"3","RNASE1"
"SEPP11",0,2.31724887188662,0.976,0.338,0,"3","SEPP1"
"PDK4",0,2.03827802841122,0.498,0.141,0,"3","PDK4"
"PLTP",0,1.96487770328846,0.629,0.27,0,"3","PLTP"
"STAB1",0,1.78146267869847,0.811,0.373,0,"3","STAB1"
"MAF",0,1.76935547320625,0.703,0.301,0,"3","MAF"
"DAB2",0,1.67675511755736,0.821,0.456,0,"3","DAB2"
"CFD",2.79600632704078e-266,1.67206875914195,0.792,0.527,7.35349664011726e-262,"3","CFD"
"MS4A4A",0,1.57972464416542,0.787,0.468,0,"3","MS4A4A"
"MRC1",2.0179454243184e-274,1.55372032755353,0.639,0.298,5.30719646595739e-270,"3","MRC1"
"GYPC",1.78587701340889e-198,1.51306879832982,0.572,0.309,4.69685654526539e-194,"3","GYPC"
"GPR34",3.93036331414873e-250,1.44363074546294,0.571,0.248,1.03368555162112e-245,"3","GPR34"
"C1QA",0,1.43451319959165,0.998,0.632,0,"3","C1QA"
"SLC40A11",0,1.42346643444763,0.749,0.312,0,"3","SLC40A1"
"CST3",0,1.38501287812076,0.998,0.929,0,"3","CST3"
"LILRB5",0,1.36494259985758,0.441,0.116,0,"3","LILRB5"
"VSIG4",2.29719025589168e-248,1.36277353310019,0.649,0.327,6.04161037299513e-244,"3","VSIG4"
"S100A8",0,2.98045875180453,0.908,0.388,0,"4","S100A8"
"FCN1",0,2.89289751341915,0.894,0.134,0,"4","FCN1"
"S100A12",0,2.80452945529292,0.633,0.097,0,"4","S100A12"
"S100A9",0,2.68035053819612,0.973,0.684,0,"4","S100A9"
"VCAN",0,1.8897598189422,0.75,0.22,0,"4","VCAN"
"APOBEC3A1",0,1.76341793717934,0.46,0.053,0,"4","APOBEC3A"
"CSTA",0,1.49283471674949,0.791,0.424,0,"4","CSTA"
"CD52",2.50897780906747e-234,1.47935083155738,0.67,0.339,6.59861163784744e-230,"4","CD52"
"CFP",0,1.46118874847311,0.566,0.108,0,"4","CFP"
"THBS11",3.24539564504879e-177,1.412716411994,0.477,0.192,8.53539054647832e-173,"4","THBS1"
"PLAC81",8.34824802714717e-237,1.40537246908542,0.41,0.114,2.19558923113971e-232,"4","PLAC8"
"S100A4",0,1.36396766511849,0.993,0.863,0,"4","S100A4"
"RP11-1143G9.4",2.91753225418337e-233,1.34093823527971,0.8,0.484,7.67310982850227e-229,"4","RP11-1143G9.4"
"CD551",1.86049095115995e-232,1.3184381544725,0.613,0.287,4.89309120155067e-228,"4","CD55"
"FPR1",8.14715480509812e-284,1.30432427080104,0.618,0.257,2.1427017137408e-279,"4","FPR1"
"IFITM21",8.64009716821072e-178,1.2662566268525,0.703,0.452,2.27234555523942e-173,"4","IFITM2"
"AREG1",1.47941966436167e-110,1.24845112861637,0.498,0.264,3.8908737172712e-106,"4","AREG"
"CD300E1",4.54064356474677e-271,1.23374225344071,0.487,0.145,1.1941892575284e-266,"4","CD300E"
"AP1S2",4.89289305411658e-197,1.23025307104153,0.692,0.422,1.28683087323266e-192,"4","AP1S2"
"LST1",2.24213891562241e-287,1.17470966963786,0.923,0.787,5.89682534808695e-283,"4","LST1"
"RNA18S5",1.3006493035276e-255,2.54886403014906,0.408,0.09,3.42070766827758e-251,"5","RNA18S5"
"DNASE1L31",0,2.49788272376791,0.554,0.145,0,"5","DNASE1L3"
"AC009501.4",0,2.05990003134932,0.393,0.066,0,"5","AC009501.4"
"FUCA11",1.6414506521096e-101,1.69094617766586,0.556,0.323,4.31701521504824e-97,"5","FUCA1"
"C1QC2",1.49321696409983e-226,1.61302680207341,0.907,0.604,3.92716061558255e-222,"5","C1QC"
"ACP51",4.10766409866956e-119,1.56036342240694,0.726,0.554,1.08031565795009e-114,"5","ACP5"
"LGALS3",7.83970483637079e-157,1.54716192872761,0.84,0.757,2.06184237196552e-152,"5","LGALS3"
"IGHA22",2.7655714317426e-135,1.54321506741987,0.465,0.194,7.27345286548305e-131,"5","IGHA2"
"SERPINF1",1.15467835575759e-79,1.2967862486787,0.399,0.204,3.03680407564247e-75,"5","SERPINF1"
"C1QA1",2.53178942689785e-167,1.26901432716759,0.914,0.657,6.65860619274135e-163,"5","C1QA"
"C1QB2",4.06778328952876e-180,1.23864046665304,0.923,0.622,1.06982700514606e-175,"5","C1QB"
"AKR1B1",4.8825560217163e-91,1.23672757226211,0.587,0.415,1.28411223371139e-86,"5","AKR1B1"
"MT-RNR21",3.57325636354061e-192,1.18141202555076,0.508,0.132,9.3976642361118e-188,"5","MT-RNR2"
"C19orf101",1.50307655606203e-141,1.14361580821651,0.306,0.081,3.95309134244314e-137,"5","C19orf10"
"HLA-DPB11",1.75773877079561e-151,1.10509240445592,0.947,0.892,4.62285296719247e-147,"5","HLA-DPB1"
"IGSF61",4.05510539023068e-52,1.10132073259723,0.591,0.518,1.06649271763067e-47,"5","IGSF6"
"APOE1",6.15221850984684e-137,1.09777070108667,0.846,0.555,1.61803346808972e-132,"5","APOE"
"MT-RNR11",3.14185266901149e-159,1.09294262469275,0.463,0.131,8.26307251950023e-155,"5","MT-RNR1"
"C17orf76-AS11",3.85539144846097e-139,1.09139468793648,0.382,0.114,1.01396795094524e-134,"5","C17orf76-AS1"
"SEPP12",2.36241134020675e-146,1.0619904625003,0.775,0.386,6.21314182474374e-142,"5","SEPP1"
"SPP11",0,2.68554741248854,0.835,0.316,0,"6","SPP1"
"FN1",0,2.41398308173538,0.595,0.133,0,"6","FN1"
"FBP1",0,1.92859058482809,0.694,0.224,0,"6","FBP1"
"CCL21",2.3387851907876e-55,1.83550402584736,0.474,0.274,6.15100505177139e-51,"6","CCL2"
"MARCO1",0,1.76190723736685,0.647,0.17,0,"6","MARCO"
"RETN2",5.39455396622074e-259,1.74925586388286,0.497,0.116,1.41876769311606e-254,"6","RETN"
"FABP51",2.10739364949108e-140,1.56955613649891,0.79,0.501,5.54244529816153e-136,"6","FABP5"
"CCL7",5.58187660277735e-160,1.53481176563485,0.239,0.04,1.46803354653044e-155,"6","CCL7"
"ALOX5AP",4.41731746594378e-160,1.43530342864447,0.823,0.526,1.16175449354321e-155,"6","ALOX5AP"
"S100A10",8.36287731991976e-205,1.32389965671999,0.972,0.872,2.1994367351389e-200,"6","S100A10"
"CSTB",5.27137379768627e-116,1.32281089459346,0.957,0.852,1.38637130879149e-111,"6","CSTB"
"MIF",9.6299215212871e-160,1.27543195430552,0.823,0.524,2.53266936009851e-155,"6","MIF"
"APOC12",2.95654073597457e-63,1.25125093089521,0.708,0.5,7.77570213561311e-59,"6","APOC1"
"MCEMP12",6.1068773047739e-234,1.24427631888114,0.49,0.12,1.60610873115554e-229,"6","MCEMP1"
"LDHA1",1.45925375348224e-169,1.19747416774464,0.908,0.687,3.83783737165829e-165,"6","LDHA"
"VCAN1",1.1737696417346e-163,1.18174964741167,0.638,0.255,3.087014157762e-159,"6","VCAN"
"GCHFR1",5.2986825653464e-105,1.17371573619271,0.466,0.206,1.3935535146861e-100,"6","GCHFR"
"CD521",3.42858115025784e-114,1.16151215817931,0.653,0.356,9.01716842517811e-110,"6","CD52"
"LINC012721",1.32522108355203e-192,1.12802338592989,0.702,0.301,3.48533144974185e-188,"6","LINC01272"
"S100A61",6.01205903681047e-221,1.12464666436608,0.997,0.918,1.58117152668115e-216,"6","S100A6"
