"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"COL1A1",0,3.52994096152812,0.969,0.611,0,"CAFs","COL1A1"
"CTHRC1",0,3.26531225868419,0.899,0.182,0,"CAFs","CTHRC1"
"COMP",0,2.81970939240229,0.405,0.013,0,"CAFs","COMP"
"COL3A1",0,2.71234863423631,0.97,0.649,0,"CAFs","COL3A1"
"COL1A2",0,2.63366920268205,0.976,0.699,0,"CAFs","COL1A2"
"MMP11",0,2.59601989490295,0.512,0.112,0,"CAFs","MMP11"
"CXCL8",0,2.59276507534033,0.352,0.084,0,"CAFs","CXCL8"
"BGN",0,2.39185295770676,0.931,0.354,0,"CAFs","BGN"
"INHBA",0,2.35025457240209,0.769,0.05,0,"CAFs","INHBA"
"THBS2",0,2.34250459288846,0.825,0.149,0,"CAFs","THBS2"
"FN1",0,2.24574660080825,0.877,0.464,0,"CAFs","FN1"
"SULF1",0,2.09288604177455,0.767,0.144,0,"CAFs","SULF1"
"COL5A2",0,2.01289027997585,0.884,0.296,0,"CAFs","COL5A2"
"COL12A1",0,2.00631194976536,0.826,0.219,0,"CAFs","COL12A1"
"COL5A1",0,1.96068531629656,0.863,0.28,0,"CAFs","COL5A1"
"SFRP4",0,1.88760879876999,0.472,0.09,0,"CAFs","SFRP4"
"COL10A1",0,1.87235875116127,0.471,0.007,0,"CAFs","COL10A1"
"AEBP1",0,1.80480715039902,0.912,0.438,0,"CAFs","AEBP1"
"MMP14",0,1.7705683130654,0.865,0.312,0,"CAFs","MMP14"
"COL6A3",0,1.76308357183536,0.906,0.385,0,"CAFs","COL6A3"
"SPARC",0,1.70368466063276,0.974,0.838,0,"CAFs","SPARC"
"TNFRSF12A",0,1.69815223891195,0.729,0.139,0,"CAFs","TNFRSF12A"
"COL11A1",0,1.6359294796532,0.472,0.005,0,"CAFs","COL11A1"
"TIMP1",0,1.56504807528456,0.985,0.855,0,"CAFs","TIMP1"
"POSTN",0,1.54851509965512,0.787,0.251,0,"CAFs","POSTN"
"SOD2",0,1.52418997971005,0.724,0.375,0,"CAFs","SOD2"
"TGFBI",0,1.49897408385897,0.766,0.262,0,"CAFs","TGFBI"
"MT2A",0,1.48379844095333,0.885,0.582,0,"CAFs","MT2A"
"ANTXR1",0,1.43621024179926,0.764,0.195,0,"CAFs","ANTXR1"
"GJB2",0,1.42721423838698,0.404,0.007,0,"CAFs","GJB2"
"CTSB",0,1.36659168917791,0.881,0.491,0,"CAFs","CTSB"
"VCAN",0,1.34793178627249,0.836,0.349,0,"CAFs","VCAN"
"SERPINE1",0,1.34288695523467,0.422,0.119,0,"CAFs","SERPINE1"
"RAB31",0,1.33069228848326,0.754,0.194,0,"CAFs","RAB31"
"CDH11",0,1.32511803006312,0.777,0.156,0,"CAFs","CDH11"
"ASPN",0,1.31676028002638,0.446,0.185,0,"CAFs","ASPN"
"FAP",0,1.3038629888311,0.681,0.084,0,"CAFs","FAP"
"SPON2",0,1.29984334742036,0.856,0.408,0,"CAFs","SPON2"
"MFAP2",0,1.25719545386954,0.739,0.151,0,"CAFs","MFAP2"
"CHPF",0,1.25581675663627,0.684,0.124,0,"CAFs","CHPF"
"RCN3",0,1.24890105539082,0.774,0.228,0,"CAFs","RCN3"
"COL8A1",0,1.21698637534744,0.642,0.141,0,"CAFs","COL8A1"
"TAGLN",0,1.20717060948818,0.864,0.34,0,"CAFs","TAGLN"
"SERPINH1",0,1.20644233139204,0.893,0.53,0,"CAFs","SERPINH1"
"CRABP2",0,1.19254841820594,0.43,0.099,0,"CAFs","CRABP2"
"MXRA5",0,1.186055505554,0.733,0.177,0,"CAFs","MXRA5"
"PDPN",0,1.18594331187975,0.673,0.162,0,"CAFs","PDPN"
"ADAM12",0,1.17271793826754,0.533,0.025,0,"CAFs","ADAM12"
"IER3",0,1.16560165529143,0.653,0.334,0,"CAFs","IER3"
"HOPX",0,1.15151934815072,0.364,0.057,0,"CAFs","HOPX"
"RARRES2",0,1.14520324273527,0.952,0.674,0,"CAFs","RARRES2"
"PLOD2",0,1.13362899557865,0.72,0.17,0,"CAFs","PLOD2"
"LGALS1",0,1.10220867608536,0.992,0.947,0,"CAFs","LGALS1"
"SLC16A3",0,1.09437940005839,0.571,0.115,0,"CAFs","SLC16A3"
"TNC",0,1.08497842032426,0.463,0.1,0,"CAFs","TNC"
"GREM1",0,1.05855413978814,0.446,0.088,0,"CAFs","GREM1"
"CTSK",0,1.05672366336429,0.835,0.423,0,"CAFs","CTSK"
"KRT8",0,1.05311276188106,0.666,0.237,0,"CAFs","KRT8"
"TPM2",0,1.04721588473646,0.956,0.535,0,"CAFs","TPM2"
"P4HB",0,1.04377129943581,0.886,0.535,0,"CAFs","P4HB"
"KRT19",0,1.04275261306546,0.514,0.1,0,"CAFs","KRT19"
"TPM4",0,1.03830852811879,0.924,0.594,0,"CAFs","TPM4"
"LOX",0,1.02960082998741,0.556,0.132,0,"CAFs","LOX"
"TPM1",0,1.02735610573607,0.916,0.613,0,"CAFs","TPM1"
"THY1",0,1.02360686031205,0.836,0.405,0,"CAFs","THY1"
"GAS1",0,1.01645800590035,0.46,0.097,0,"CAFs","GAS1"
"PKM",0,1.01450352912493,0.902,0.591,0,"CAFs","PKM"
"C3",0,1.01216338158133,0.6,0.218,0,"CAFs","C3"
"MMP2",0,1.00878716163251,0.903,0.55,0,"CAFs","MMP2"
"CALU",0,0.998700360776812,0.86,0.441,0,"CAFs","CALU"
"ISLR",0,0.995327490255647,0.681,0.266,0,"CAFs","ISLR"
"ERRFI1",0,0.987327722012872,0.524,0.17,0,"CAFs","ERRFI1"
"MIF",0,0.982578664134035,0.857,0.509,0,"CAFs","MIF"
"NBL1",0,0.979571064006482,0.871,0.451,0,"CAFs","NBL1"
"COL6A1",0,0.97125519504294,0.902,0.614,0,"CAFs","COL6A1"
"MT1E",0,0.959433631118847,0.706,0.294,0,"CAFs","MT1E"
"PALLD",0,0.958933537144499,0.749,0.278,0,"CAFs","PALLD"
"CERCAM",0,0.943269940958048,0.699,0.248,0,"CAFs","CERCAM"
"VMP1",0,0.942614909284894,0.839,0.436,0,"CAFs","VMP1"
"GAPDH",0,0.93708853795138,0.984,0.921,0,"CAFs","GAPDH"
"HTRA1",0,0.920026119063176,0.737,0.365,0,"CAFs","HTRA1"
"LOXL2",0,0.912211625239232,0.598,0.163,0,"CAFs","LOXL2"
"SEC61G",0,0.910343876821177,0.92,0.612,0,"CAFs","SEC61G"
"NNMT",0,0.90957996806574,0.915,0.608,0,"CAFs","NNMT"
"RUNX1",0,0.891557640292312,0.664,0.129,0,"CAFs","RUNX1"
"COL7A1",0,0.888700570850191,0.305,0.024,0,"CAFs","COL7A1"
"LUM",0,0.878532684603485,0.964,0.562,0,"CAFs","LUM"
"SPHK1",0,0.877995753372833,0.519,0.09,0,"CAFs","SPHK1"
"PRRX1",0,0.867815545666736,0.599,0.132,0,"CAFs","PRRX1"
"FKBP10",0,0.85846793863875,0.787,0.33,0,"CAFs","FKBP10"
"ENO1",0,0.858228428457296,0.857,0.596,0,"CAFs","ENO1"
"OSTC",0,0.849903351588625,0.859,0.518,0,"CAFs","OSTC"
"MDK",0,0.842771564390993,0.743,0.352,0,"CAFs","MDK"
"IL32",0,0.827672194110653,0.812,0.416,0,"CAFs","IL32"
"MYDGF",0,0.823181981003577,0.826,0.394,0,"CAFs","MYDGF"
"TNFAIP6",0,0.822661334004694,0.492,0.155,0,"CAFs","TNFAIP6"
"PLPP4",0,0.822548354530128,0.409,0.004,0,"CAFs","PLPP4"
"KDELR2",0,0.821941668078358,0.857,0.521,0,"CAFs","KDELR2"
"HTRA3",0,0.81628705412188,0.475,0.138,0,"CAFs","HTRA3"
"PLAUR",0,0.81419076073695,0.595,0.171,0,"CAFs","PLAUR"
"FBXO32",0,0.807796850966442,0.453,0.112,0,"CAFs","FBXO32"
"CNN2",0,0.806301997450042,0.67,0.175,0,"CAFs","CNN2"
"RPS17",0,0.800025611800811,0.985,0.712,0,"CAFs","RPS17"
"PLAU",2.09371916020407e-295,0.834168751079073,0.514,0.243,5.50648139133669e-291,"CAFs","PLAU"
"IGFBP5",4.39724455716486e-294,1.07779201926808,0.666,0.377,1.15647531853436e-289,"CAFs","IGFBP5"
"CXCL1",6.06203879102854e-280,1.68514594092743,0.368,0.15,1.5943162020405e-275,"CAFs","CXCL1"
"FTH1",8.661964781171e-201,0.935434694341354,0.996,0.991,2.27809673744797e-196,"CAFs","FTH1"
"TIMP3",1.20677688126829e-89,1.04459664874382,0.746,0.611,3.17382319773561e-85,"CAFs","TIMP3"
"CFD",0,5.60333955997714,0.845,0.155,0,"Fibroblasts","CFD"
"ADAMDEC1",0,4.72396549926968,0.464,0.093,0,"Fibroblasts","ADAMDEC1"
"APOE",0,3.57735308055861,0.614,0.294,0,"Fibroblasts","APOE"
"DPT",0,3.44455322566151,0.498,0.102,0,"Fibroblasts","DPT"
"ADH1B",0,3.07836859070331,0.65,0.027,0,"Fibroblasts","ADH1B"
"CXCL14",0,2.96941500206645,0.655,0.174,0,"Fibroblasts","CXCL14"
"DCN",0,2.93229076495516,0.896,0.43,0,"Fibroblasts","DCN"
"MFAP4",0,2.93035145128206,0.882,0.276,0,"Fibroblasts","MFAP4"
