"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCL5",0,2.50062790338229,0.627,0.135,0,"0","CCL5"
"ID2",0,1.54835872135935,0.657,0.299,0,"0","ID2"
"RGS2",0,1.31819236871449,0.483,0.21,0,"0","RGS2"
"ANXA1",0,1.28030460049278,0.834,0.547,0,"0","ANXA1"
"AC092580.4",0,1.16967895317058,0.284,0.051,0,"0","AC092580.4"
"S100A4",0,1.16055289827466,0.938,0.64,0,"0","S100A4"
"HOPX",0,1.13891926904378,0.228,0.037,0,"0","HOPX"
"KLRB1",0,1.13518588377522,0.648,0.387,0,"0","KLRB1"
"IL32",0,1.06867376788184,0.927,0.704,0,"0","IL32"
"CST7",0,1.05479750672412,0.359,0.114,0,"0","CST7"
"SH3BGRL3",0,0.878726704590771,0.899,0.752,0,"0","SH3BGRL3"
"ZFP36",0,0.842605094943159,0.761,0.572,0,"0","ZFP36"
"PFN1",0,0.789036389588384,0.943,0.868,0,"0","PFN1"
"H3F3B",0,0.693571435911027,0.97,0.914,0,"0","H3F3B"
"UBC",0,0.678835579293365,0.882,0.773,0,"0","UBC"
"UBB",0,0.671084128215027,0.867,0.745,0,"0","UBB"
"HLA-B",0,0.658621499280191,0.964,0.95,0,"0","HLA-B"
"ACTB",0,0.65275268374733,0.989,0.967,0,"0","ACTB"
"HLA-C",0,0.628281540165834,0.974,0.923,0,"0","HLA-C"
"CFL1",0,0.587545111903395,0.915,0.853,0,"0","CFL1"
"TMSB4X",0,0.55192286965124,1,1,0,"0","TMSB4X"
"VIM",2.89843782295512e-288,0.80891327447069,0.792,0.66,7.62289147437196e-284,"0","VIM"
"GZMA",6.42667659375945e-281,1.20479672834256,0.214,0.046,1.69021594415874e-276,"0","GZMA"
"MYL12A",2.55888144052094e-276,0.700329659569346,0.823,0.708,6.72985818857007e-272,"0","MYL12A"
"PHLDA1",6.179618158746e-272,1.11555355606583,0.297,0.103,1.6252395757502e-267,"0","PHLDA1"
"CYBA",1.71478048929031e-267,0.60317879026015,0.839,0.728,4.50987268683352e-263,"0","CYBA"
"MCL1",6.0054953675916e-255,0.762453917971667,0.641,0.446,1.57944528167659e-250,"0","MCL1"
"DNAJA1",2.56055466265125e-250,0.955083781201828,0.555,0.354,6.73425876277279e-246,"0","DNAJA1"
"GAPDH",1.80473323356048e-247,0.546244689166656,0.892,0.83,4.74644840426406e-243,"0","GAPDH"
"MYL6",5.18172510905083e-244,0.509335218153333,0.889,0.823,1.36279370368037e-239,"0","MYL6"
"S100A6",9.73258858044783e-239,0.559096580557139,0.846,0.745,2.55967079665778e-234,"0","S100A6"
"FOSB",5.96943384191387e-233,0.884627670652883,0.585,0.41,1.56996110042335e-228,"0","FOSB"
"ITM2B",5.50783212961238e-231,0.582864170793961,0.807,0.697,1.44855985008805e-226,"0","ITM2B"
"LGALS3",1.28304524420863e-218,0.855001782291506,0.331,0.149,3.3744089922687e-214,"0","LGALS3"
"CAPG",4.80692424845312e-216,0.858487174557767,0.246,0.086,1.26422107734317e-211,"0","CAPG"
"IFITM2",8.83235244073288e-210,0.702451214442983,0.651,0.5,2.32290869191275e-205,"0","IFITM2"
"CKLF",6.00742220140648e-202,0.769731181076993,0.457,0.271,1.57995203896991e-197,"0","CKLF"
"CD2",1.81142543710369e-197,0.607727501967596,0.73,0.589,4.7640488995827e-193,"0","CD2"
"SAMSN1",1.15743634713863e-196,0.7569750077222,0.458,0.277,3.04405759297459e-192,"0","SAMSN1"
"FKBP11",1.14866116473415e-194,0.76921371313159,0.33,0.16,3.02097886325082e-190,"0","FKBP11"
"S100A11",1.6908291666277e-192,0.651934085612774,0.599,0.423,4.44688070823086e-188,"0","S100A11"
"ANXA2",5.79710216971148e-191,0.752678404013403,0.361,0.186,1.52463787063412e-186,"0","ANXA2"
"TNFAIP3",4.76208478454501e-186,0.699767118920201,0.613,0.461,1.25242829833534e-181,"0","TNFAIP3"
"CD99",4.9002959530537e-186,0.683541753419784,0.517,0.343,1.28877783565312e-181,"0","CD99"
"DUSP2",1.46971714114759e-184,1.01015046578101,0.478,0.313,3.86535608121817e-180,"0","DUSP2"
"IL4I1",5.44624185112719e-183,0.69167248495232,0.124,0.02,1.43236160684645e-178,"0","IL4I1"
"PERP",3.50901902082768e-180,0.699764505602108,0.215,0.075,9.22872002477681e-176,"0","PERP"
"TRAC",4.09647912321639e-180,0.521561316189753,0.866,0.794,1.07737400940591e-175,"0","TRAC"
"NKG7",3.26465240359737e-179,0.7572948329968,0.137,0.028,8.58603582146108e-175,"0","NKG7"
"ALOX5AP",1.4440492777077e-178,0.706652637402549,0.477,0.305,3.79784960037125e-174,"0","ALOX5AP"
"CXCR6",1.05395095759314e-173,0.650710429481612,0.131,0.025,2.77189101846996e-169,"0","CXCR6"
"PSME2",3.37398821386809e-171,0.745696731726972,0.51,0.354,8.87358900247308e-167,"0","PSME2"
"CLIC1",5.43969369629036e-164,0.643728009484848,0.572,0.425,1.43063944212436e-159,"0","CLIC1"
"LY6E",5.08001916771013e-163,0.764101460012922,0.464,0.306,1.33604504110776e-158,"0","LY6E"
"MYADM",1.30598577324103e-159,0.746589791435927,0.389,0.228,3.4347425836239e-155,"0","MYADM"
"S100A10",4.15078182413846e-158,0.601017119809235,0.64,0.508,1.09165561974841e-153,"0","S100A10"
"ARPC2",6.22212409560845e-158,0.534864655624526,0.727,0.629,1.63641863714502e-153,"0","ARPC2"
"CD63",1.88672467074707e-156,0.74040099622854,0.353,0.199,4.96208588406479e-152,"0","CD63"
"LMNA",3.80515019472391e-155,0.96299981584173,0.394,0.237,1.00075450121239e-150,"0","LMNA"
"KLF6",3.40047413480425e-150,0.561357576709663,0.767,0.64,8.94324697453518e-146,"0","KLF6"
"HSPA8",3.77471679654011e-149,0.532769228731801,0.831,0.764,9.92750517490049e-145,"0","HSPA8"
"ANKRD28",6.88189880947202e-147,0.658192016492887,0.215,0.085,1.80993938689114e-142,"0","ANKRD28"
"RGS1",8.41298701409971e-146,0.657700732095335,0.651,0.506,2.21261558470823e-141,"0","RGS1"
"AMICA1",5.63298312991865e-145,0.750598695092571,0.135,0.035,1.4814745631686e-140,"0","AMICA1"
"TNFSF13B",8.89543398604988e-144,0.696376045027304,0.159,0.05,2.33949913833112e-139,"0","TNFSF13B"
"RHOC",2.31807345735338e-142,0.630669066004033,0.244,0.11,6.0965331928394e-138,"0","RHOC"
"TUBA1A",1.97774284968633e-141,0.824323166361498,0.439,0.299,5.20146369467506e-137,"0","TUBA1A"
"RGCC",9.15007419087869e-136,0.904029162667773,0.613,0.509,2.4064695122011e-131,"0","RGCC"
"MYL12B",1.39977868843115e-135,0.529915544938654,0.65,0.541,3.68141795057393e-131,"0","MYL12B"
"TAGLN2",1.65823510389515e-135,0.577346909706659,0.575,0.445,4.36115832324423e-131,"0","TAGLN2"
"LGALS1",4.00576845252469e-133,0.804634136499787,0.375,0.233,1.05351710301399e-128,"0","LGALS1"
"IFNGR1",2.43428016228549e-132,0.609609769089776,0.171,0.062,6.40215682681083e-128,"0","IFNGR1"
"ENO1",3.95113905137153e-132,0.581213517494035,0.564,0.445,1.03914957051071e-127,"0","ENO1"
"CTSW",2.31502652029999e-123,0.644335670418904,0.154,0.054,6.08851974838898e-119,"0","CTSW"
"FOS",4.98825333846523e-119,0.594587336089213,0.803,0.728,1.31191062801636e-114,"0","FOS"
"PTPRCAP",7.69079832230543e-118,0.738139333829233,0.322,0.191,2.02267995876633e-113,"0","PTPRCAP"
"IL2RG",1.01488063373984e-117,0.588224917361757,0.52,0.398,2.66913606673578e-113,"0","IL2RG"
"IGHA2",1.05017403681485e-117,0.626539756946369,0.436,0.29,2.76195771682305e-113,"0","IGHA2"
"PSME1",1.0762055154247e-113,0.502556243216575,0.644,0.547,2.83042050556697e-109,"0","PSME1"
"TPI1",1.07870301166122e-113,0.567804665121694,0.516,0.398,2.83698892066901e-109,"0","TPI1"
"AC009501.4",1.34116809180143e-112,0.71084111108564,0.163,0.063,3.52727208143776e-108,"0","AC009501.4"
"ARPC1B",2.7013722416711e-112,0.517879789720975,0.613,0.504,7.10460899559499e-108,"0","ARPC1B"
"CD69",3.0713326966813e-112,0.817029046119058,0.736,0.66,8.07760499227182e-108,"0","CD69"
"TUBA1B",1.53755417708948e-111,0.589260454591865,0.502,0.384,4.04376748574533e-107,"0","TUBA1B"
"DRAP1",6.59015856736405e-108,0.607334350821289,0.386,0.263,1.73321170321675e-103,"0","DRAP1"
"LAG3",2.1768689035413e-105,0.50928173291676,0.1,0.026,5.72516521631362e-101,"0","LAG3"
"GUK1",6.96306440353509e-105,0.500197157452149,0.554,0.443,1.83128593812973e-100,"0","GUK1"
"PTGER2",1.31659722245196e-102,0.612306298213392,0.183,0.082,3.46265069504865e-98,"0","PTGER2"
"GPR65",1.01883347093885e-94,0.527072989763779,0.22,0.115,2.67953202856918e-90,"0","GPR65"
"MIR24-2",3.18353318306214e-93,0.671905260707739,0.169,0.076,8.37269227145343e-89,"0","MIR24-2"
"ISG15",3.50008824767101e-92,0.767282933058685,0.402,0.284,9.20523209137477e-88,"0","ISG15"
"EMP3",8.60109597886251e-92,0.507057013641256,0.547,0.439,2.26208824244084e-87,"0","EMP3"
"SELT",1.02385560693911e-90,0.532709506977434,0.409,0.295,2.69274024624985e-86,"0","SELT"
"GADD45B",4.18410118127076e-90,0.760848550284007,0.319,0.211,1.10041861067421e-85,"0","GADD45B"
"TUBB4B",7.50064472879481e-87,0.589654486556694,0.338,0.228,1.97266956367303e-82,"0","TUBB4B"
"SH2D2A",1.89181693752278e-83,0.513441743253245,0.227,0.127,4.97547854568491e-79,"0","SH2D2A"
"DUSP1",4.06071573459903e-81,0.64821467108747,0.769,0.715,1.06796823819955e-76,"0","DUSP1"
"BST2",4.87264079681139e-76,0.562183208420574,0.255,0.158,1.28150452956139e-71,"0","BST2"
"TMEM66",6.67706237280039e-73,0.514135394635692,0.407,0.293,1.7560674040465e-68,"0","TMEM66"
"GATA3",1.94487157117316e-70,0.547810029742941,0.213,0.124,5.11501223218542e-66,"0","GATA3"
"PSMB9",6.62108547422569e-70,0.531164783507492,0.42,0.329,1.74134547972136e-65,"0","PSMB9"
"ARL4A",1.30716101970511e-69,0.511194419586473,0.306,0.209,3.43783348182444e-65,"0","ARL4A"
"OSTF1",2.25220462772187e-68,0.504728376755545,0.305,0.211,5.92329817090851e-64,"0","OSTF1"
"JUN",5.8892895327424e-66,0.627876498298326,0.677,0.628,1.54888314711125e-61,"0","JUN"
"MT-RNR2",9.34448021856207e-64,0.662756520466669,0.467,0.351,2.45759829748182e-59,"0","MT-RNR2"
"MT-RNR1",4.56950062002831e-60,0.800158619177809,0.324,0.235,1.20177866306744e-55,"0","MT-RNR1"
"IRF1",1.83043991180084e-55,0.517637359864655,0.393,0.31,4.8140569680362e-51,"0","IRF1"
"SNHG5",5.42956034128584e-53,0.52881130560501,0.279,0.195,1.42797436975818e-48,"0","SNHG5"
"CCL20",2.95706427095818e-52,0.790376606179963,0.14,0.075,7.77707903262e-48,"0","CCL20"
"RNA18S5",9.02919800581659e-47,0.500802353845155,0.185,0.116,2.37467907552976e-42,"0","RNA18S5"
"CITED2",5.2940722372045e-43,0.515503202471251,0.344,0.273,1.39234099838478e-38,"0","CITED2"
"IER2",7.54374602999632e-34,0.521265382258825,0.437,0.384,1.98400520588903e-29,"0","IER2"
"CCL4",3.21925870097185e-32,1.29551461366512,0.108,0.063,8.46665038355597e-28,"0","CCL4"
"CCR7",0,1.24270195029512,0.473,0.141,0,"1","CCR7"
"RPL39",0,0.694186143274039,0.925,0.772,0,"1","RPL39"
"RPS29",0,0.660568708544865,0.98,0.944,0,"1","RPS29"
"RPS27",0,0.652429366149564,0.999,0.999,0,"1","RPS27"
"RPS21",0,0.637397192603535,0.944,0.867,0,"1","RPS21"
"RPL37",0,0.612478287300378,0.973,0.921,0,"1","RPL37"
"RPS28",0,0.597986401111691,0.991,0.981,0,"1","RPS28"
"RPL37A",0,0.594867504832408,0.969,0.917,0,"1","RPL37A"
"RPL38",0,0.594507274239209,0.947,0.874,0,"1","RPL38"
"RPL34",0,0.542598476466178,0.989,0.973,0,"1","RPL34"
"SELL",6.69765368922429e-274,0.825690723325991,0.287,0.093,1.76148292026599e-269,"1","SELL"
"MT-ND3",2.08179436989856e-246,0.535615862678939,0.884,0.71,5.4751191928332e-242,"1","MT-ND3"
"KLF2",1.16987081157561e-160,0.69015416750445,0.275,0.125,3.07676023444386e-156,"1","KLF2"
"TSHZ2",2.41611352223135e-159,0.553493722349656,0.177,0.056,6.35437856346845e-155,"1","TSHZ2"
"HLA-DRA",7.67516156258462e-101,0.569436253594559,0.261,0.144,2.01856749095976e-96,"1","HLA-DRA"
"IGJ",7.36572785090078e-66,1.0359654155433,0.379,0.32,1.9371864247869e-61,"1","IGJ"
"GAS5",2.72993677144434e-45,0.580986560232553,0.339,0.269,7.17973370889862e-41,"1","GAS5"
"PASK",0,2.63371385342076,0.984,0.009,0,"2","PASK"
"RPS17",9.92287804638707e-208,0.84623250094577,0.878,0.55,2.6097169261998e-203,"2","RPS17"
"SARAF",6.03821036831429e-160,0.820445126318473,0.818,0.478,1.58804932686666e-155,"2","SARAF"
"SELL1",3.21881812872719e-100,0.658936321622106,0.361,0.158,8.46549167855251e-96,"2","SELL"
"SNU13",7.93800170230382e-82,0.512262649229256,0.442,0.229,2.08769444770591e-77,"2","SNU13"
"PIK3IP1",1.3177922518227e-75,0.542869870382543,0.471,0.259,3.4657936222937e-71,"2","PIK3IP1"
"TRBC1",6.79833161593902e-73,0.668721564127491,0.475,0.269,1.78796121499196e-68,"2","TRBC1"
"TSHZ21",7.75756401257702e-70,0.513118170924744,0.231,0.096,2.04023933530776e-65,"2","TSHZ2"
"TXNIP",1.87079235141681e-64,0.771305231597098,0.496,0.319,4.9201838842262e-60,"2","TXNIP"
