"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LTB",2.17904598262396e-25,1.58810921136375,0.554,0.221,5.73089093430102e-21,"0","LTB"
"IL17A",1.25977113441123e-07,1.58019977306012,0.175,0.061,0.00331319808350154,"0","IL17A"
"TNFRSF4",1.87396207186337e-17,1.51062480003711,0.308,0.089,4.92852024900066e-13,"0","TNFRSF4"
"IGJ",0.00242563889138332,1.22566465478749,0.135,0.076,1,"0","IGJ"
"IL2RA",1.758330306297e-10,1.01145869673893,0.223,0.076,4.6244087055611e-06,"0","IL2RA"
"CCL20",1.5214849289498e-05,1.00372897933332,0.31,0.19,0.400150536313797,"0","CCL20"
"GPX1",3.88371286147661e-12,0.936844709036766,0.493,0.299,1.02141648256835e-07,"0","GPX1"
"IL7R",1.84423515110592e-13,0.892296631767089,0.305,0.108,4.85033844740856e-09,"0","IL7R"
"SPOCK2",4.15638296839196e-10,0.715744919603692,0.554,0.361,1.09312872068708e-05,"0","SPOCK2"
"CORO1B",1.14695606155116e-12,0.713421914586107,0.517,0.297,3.01649444187956e-08,"0","CORO1B"
"CD4",1.37778716727538e-18,0.708590399348749,0.3,0.071,3.62358024993424e-14,"0","CD4"
"PBXIP1",2.88539616496226e-08,0.640546238997826,0.294,0.147,0.000758859191385076,"0","PBXIP1"
"BATF",2.4416008061138e-07,0.628367574690191,0.546,0.413,0.00642141012007929,"0","BATF"
"CCR6",1.43129841882175e-14,0.625225861549256,0.215,0.043,3.7643148415012e-10,"0","CCR6"
"RORA",3.79799418523603e-10,0.624839478223983,0.544,0.335,9.98872470717076e-06,"0","RORA"
"RPL37A",5.52258941447936e-15,0.619878402465638,0.963,0.948,1.45244101600807e-10,"0","RPL37A"
"EEF1A1",6.80893189956063e-26,0.610873159896447,0.997,0.991,1.79074908958445e-21,"0","EEF1A1"
"RPL22L1",4.2499044629951e-06,0.593532710369012,0.541,0.42,0.111772487376771,"0","RPL22L1"
"S100A4",2.31321158504526e-06,0.584199735799578,0.846,0.9,0.0608374646866904,"0","S100A4"
"AC133644.2",7.50617559629743e-07,0.577453396521467,0.252,0.123,0.0197412418182622,"0","AC133644.2"
"GNLY",1.0193278798993e-30,2.01042140848576,0.569,0.199,2.68083232413517e-26,"1","GNLY"
"GZMB",9.90045830761458e-57,1.90773828893711,0.879,0.336,2.60382053490263e-52,"1","GZMB"
"GZMA",1.29124240539364e-44,1.60660988667885,0.943,0.552,3.39596752618527e-40,"1","GZMA"
"CCL3",1.75609332929445e-26,1.48015997876847,0.609,0.262,4.6185254560444e-22,"1","CCL3"
"CTSW",2.19975131768134e-38,1.45185944694753,0.657,0.216,5.78534596550192e-34,"1","CTSW"
"CCL5",4.40559277224015e-51,1.42972419294516,0.963,0.537,1.15867089909916e-46,"1","CCL5"
"NKG7",5.87075168667199e-52,1.42668958128892,0.919,0.4,1.54400769359473e-47,"1","NKG7"
"GZMH",5.9625895652087e-24,1.34732970935278,0.512,0.175,1.56816105564989e-19,"1","GZMH"
"HOPX",9.30688447561329e-24,1.14626196473509,0.535,0.205,2.44771061708629e-19,"1","HOPX"
"KLRD1",2.9189931366065e-24,1.12665614420026,0.465,0.144,7.67695194927511e-20,"1","KLRD1"
"IFNG",5.30834580063902e-24,1.09714536447298,0.687,0.345,1.39609494556806e-19,"1","IFNG"
"JCHAIN",0.000936918563085614,1.06915022189584,0.128,0.221,1,"1","JCHAIN"
"CD8B",3.29682232078302e-24,1.0294820015276,0.478,0.155,8.67064270365935e-20,"1","CD8B"
"XCL2",1.88679810777561e-07,0.967552594458979,0.172,0.061,0.00496227902344985,"1","XCL2"
"CD8A",2.23906540058659e-21,0.925411445831332,0.556,0.214,5.88874200354274e-17,"1","CD8A"
"AC092580.4",2.36198497495113e-18,0.901295475021978,0.586,0.315,6.21202048412148e-14,"1","AC092580.4"
"CXCL13",7.15373917129541e-14,0.896982937400939,0.461,0.208,1.88143340205069e-09,"1","CXCL13"
"PRF1",9.33852423178064e-13,0.858682851802349,0.488,0.268,2.45603187295831e-08,"1","PRF1"
"CCL4",1.91250224714636e-28,0.858416772215828,0.778,0.4,5.02988090999491e-24,"1","CCL4"
"CD7",1.17785539596957e-16,0.822255744540684,0.811,0.57,3.09775969139996e-12,"1","CD7"
"CCL4L2",7.46140947257574e-07,2.39184603795298,0.415,0.218,0.0196235069128742,"2","CCL4L2"
"ARL6IP1",4.2014254066664e-47,1.88653153039717,0.958,0.531,1.10497488195326e-42,"2","ARL6IP1"
"KPNA2",1.96805942635317e-36,1.65249771672737,0.845,0.376,5.17599629130883e-32,"2","KPNA2"
"CENPF",8.5435296327698e-36,1.59456816023972,0.859,0.396,2.24694829341846e-31,"2","CENPF"
"UBE2C",1.33814621604937e-32,1.57142482808164,0.887,0.519,3.51932454820985e-28,"2","UBE2C"
"ASPM",4.03688733562345e-36,1.51085583945909,0.775,0.288,1.06170136926897e-31,"2","ASPM"
"CCNB2",1.22224287895424e-36,1.46277318415285,0.725,0.224,3.21449877164965e-32,"2","CCNB2"
"CCNB1",2.12686384749246e-35,1.38886973065481,0.641,0.165,5.59365191890517e-31,"2","CCNB1"
"CDC20",9.27927413820504e-31,1.32039245836487,0.641,0.202,2.44044909834792e-26,"2","CDC20"
"CCL41",9.55220246846865e-07,1.30799650664058,0.718,0.496,0.0251222924920726,"2","CCL4"
"PLK1",1.07776426931427e-35,1.30350208025979,0.542,0.112,2.83452002829653e-31,"2","PLK1"
"TOP2A",6.20329389008773e-27,1.27968829183158,0.866,0.451,1.63146629309307e-22,"2","TOP2A"
"PTTG1",4.39321185233148e-28,1.25099046922267,0.915,0.614,1.15541471716318e-23,"2","PTTG1"
"CENPE",1.93936670650044e-32,1.22071104927845,0.641,0.192,5.10053443809615e-28,"2","CENPE"
"CENPA",1.36647051397707e-31,1.21994910396429,0.697,0.232,3.59381745175969e-27,"2","CENPA"
"CKS2",7.92600442263639e-26,1.20789969148983,0.901,0.562,2.08453916315337e-21,"2","CKS2"
"TPX2",3.94318351115213e-29,1.1884507499984,0.732,0.288,1.03705726343301e-24,"2","TPX2"
"TRDC",0.00189917594600767,1.18650582978973,0.134,0.063,1,"2","TRDC"
"GTSE1",1.27856313829119e-19,1.1380137508355,0.592,0.253,3.36262105370584e-15,"2","GTSE1"
"CCNA2",9.00815521854991e-27,1.13188239203915,0.683,0.254,2.36914482247863e-22,"2","CCNA2"
"TPSB2",3.04217414969562e-82,7.896377546245,0.783,0.017,8.00091801369949e-78,"3","TPSB2"
"TPSAB1",4.57121304247643e-115,7.25599960156196,0.913,0.012,1.2022290301713e-110,"3","TPSAB1"
"CTSG",2.39226107100044e-104,5.42569538081015,0.609,0.001,6.29164661673115e-100,"3","CTSG"
"CPA3",1.935102402424e-152,4.65296304785168,1,0.006,5.08931931837512e-148,"3","CPA3"
"HPGD",2.1844445729325e-26,4.64092300266696,0.826,0.119,5.74508922681248e-22,"3","HPGD"
"HPGDS",4.08619255897287e-137,3.94094708148086,0.826,0.002,1.07466864300986e-132,"3","HPGDS"
"KRT1",3.91186402026431e-112,3.45385890176075,0.652,0.001,1.02882023732951e-107,"3","KRT1"
"MS4A2",1.12580226680615e-137,3.38418032908114,0.826,0.002,2.96085996170017e-133,"3","MS4A2"
"ADCYAP1",1.49524518479711e-80,3.30049069540674,0.478,0.001,3.9324948360164e-76,"3","ADCYAP1"
"EXD3",8.76467306486294e-71,3.02238185639776,0.783,0.023,2.30510901605895e-66,"3","EXD3"
"GLUL",1.50090324494973e-34,2.90563674044771,0.913,0.115,3.94737553421779e-30,"3","GLUL"
"GATA2",2.64981518494505e-120,2.87778835169732,0.696,0.001,6.96901393640549e-116,"3","GATA2"
"CMA1",2.63218348636237e-80,2.76717433192316,0.478,0.001,6.92264256913303e-76,"3","CMA1"
"SLC18A2",1.80788086505636e-113,2.66485853646186,0.696,0.002,4.75472667509824e-109,"3","SLC18A2"
"CLU",1.11475811400677e-47,2.61747617412396,0.826,0.051,2.93181383983782e-43,"3","CLU"
"RP11-354E11.2",1.06476610035269e-135,2.53091404051273,0.739,0,2.80033484392757e-131,"3","RP11-354E11.2"
"AREG",3.125099358855e-09,2.47795335178153,0.565,0.137,8.21901131378865e-05,"3","AREG"
"TSC22D1",1.39186333445185e-14,2.45334408377744,0.609,0.109,3.66060056960838e-10,"3","TSC22D1"
