"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LTB",0,1.65437825332986,0.764,0.331,0,"CD4 Tcells","LTB"
"IL7R",0,0.881629459844068,0.566,0.281,0,"CD4 Tcells","IL7R"
"GPR183",0,0.845573990850014,0.49,0.244,0,"CD4 Tcells","GPR183"
"ICOS",0,0.815201031666267,0.311,0.126,0,"CD4 Tcells","ICOS"
"CD8B",0,2.47320838064823,0.667,0.027,0,"CD8 Tcells","CD8B"
"CD8A",0,2.28957906140877,0.716,0.084,0,"CD8 Tcells","CD8A"
"GZMB",0,1.89556431898587,0.555,0.165,0,"CD8 Tcells","GZMB"
"CCL4",0,1.87844319865494,0.645,0.207,0,"CD8 Tcells","CCL4"
"NKG7",0,1.75373569593828,0.84,0.248,0,"CD8 Tcells","NKG7"
"CCL5",0,1.69691045994492,0.962,0.465,0,"CD8 Tcells","CCL5"
"GZMH",0,1.61150052353062,0.396,0.086,0,"CD8 Tcells","GZMH"
"IFNG",0,1.53043090417206,0.374,0.097,0,"CD8 Tcells","IFNG"
"GZMA",0,1.34008092348852,0.763,0.31,0,"CD8 Tcells","GZMA"
"GZMK",0,1.28059745618453,0.383,0.132,0,"CD8 Tcells","GZMK"
"TRGC2",0,1.20855101379451,0.37,0.093,0,"CD8 Tcells","TRGC2"
"CTSW",0,1.17041597012857,0.516,0.18,0,"CD8 Tcells","CTSW"
"KLRD1",0,1.12119897171442,0.361,0.092,0,"CD8 Tcells","KLRD1"
"HLA-DRB1",0,1.11982931099467,0.475,0.232,0,"CD8 Tcells","HLA-DRB1"
"LAG3",0,1.06333400737132,0.373,0.115,0,"CD8 Tcells","LAG3"
"ITM2C",0,1.0003048396303,0.411,0.164,0,"CD8 Tcells","ITM2C"
"HLA-DRA",0,0.979597958246302,0.405,0.247,0,"CD8 Tcells","HLA-DRA"
"HLA-DPB1",0,0.967353252386674,0.493,0.266,0,"CD8 Tcells","HLA-DPB1"
"CST7",0,0.954235134489427,0.673,0.383,0,"CD8 Tcells","CST7"
"HLA-DPA1",0,0.941748470403744,0.463,0.251,0,"CD8 Tcells","HLA-DPA1"
"HOPX",0,0.90285803793278,0.43,0.194,0,"CD8 Tcells","HOPX"
"PRF1",0,0.879787812009254,0.369,0.149,0,"CD8 Tcells","PRF1"
"GZMK1",0,2.4522993926875,0.938,0.168,0,"Double-Negative Tcells","GZMK"
"CST71",1.19183595906459e-94,0.89037772463189,0.697,0.437,3.13452857233987e-90,"Double-Negative Tcells","CST7"
"TRDC",0,2.36313358854539,0.358,0.037,0,"Unconventional Tcells","TRDC"
"GZMA1",0,1.7155002556695,0.741,0.353,0,"Unconventional Tcells","GZMA"
"GZMK2",0,1.48173110562695,0.41,0.15,0,"Unconventional Tcells","GZMK"
"CCL51",0,1.45675747390338,0.975,0.507,0,"Unconventional Tcells","CCL5"
"NKG71",0,1.36140353709056,0.801,0.305,0,"Unconventional Tcells","NKG7"
"CCL41",0,1.17895109480882,0.544,0.26,0,"Unconventional Tcells","CCL4"
"HOPX1",0,1.16805460577863,0.48,0.207,0,"Unconventional Tcells","HOPX"
"CTSW1",0,1.09413442483936,0.528,0.208,0,"Unconventional Tcells","CTSW"
"TRGC21",0,1.07994192631864,0.304,0.127,0,"Unconventional Tcells","TRGC2"
"CST72",0,1.05208373667425,0.706,0.403,0,"Unconventional Tcells","CST7"
"KLRD11",0,0.981504059195873,0.349,0.117,0,"Unconventional Tcells","KLRD1"
"PRF11",0,0.895266051116301,0.382,0.167,0,"Unconventional Tcells","PRF1"
"GZMH1",3.97030224495176e-304,1.00114661560912,0.3,0.127,1.04418949042231e-299,"Unconventional Tcells","GZMH"
"CD63",6.01644914602509e-254,0.862911028886132,0.555,0.384,1.5823261254046e-249,"Unconventional Tcells","CD63"
"LITAF",3.49204492169998e-225,0.814346964488682,0.453,0.292,9.18407814407095e-221,"Unconventional Tcells","LITAF"
"CD7",3.91189022527321e-195,0.850639317115503,0.703,0.641,1.02882712924685e-190,"Unconventional Tcells","CD7"
"TYROBP",0,3.12087890735945,0.803,0.063,0,"ILCs","TYROBP"
"GNLY",0,3.08165213970933,0.664,0.129,0,"ILCs","GNLY"
"AREG",0,2.7462192267253,0.499,0.128,0,"ILCs","AREG"
"FCER1G",0,2.64064432128368,0.668,0.054,0,"ILCs","FCER1G"
"KLRC1",0,2.42406858399647,0.562,0.036,0,"ILCs","KLRC1"
"KLRF1",0,2.35659072129061,0.483,0.004,0,"ILCs","KLRF1"
"KLRD12",0,2.1729110690481,0.652,0.13,0,"ILCs","KLRD1"
"TRDC1",0,2.06344714155066,0.64,0.059,0,"ILCs","TRDC"
"NKG72",0,2.04139361967625,0.794,0.354,0,"ILCs","NKG7"
"XCL2",0,1.97185771440057,0.489,0.087,0,"ILCs","XCL2"
"XCL1",0,1.95940736437613,0.431,0.073,0,"ILCs","XCL1"
"CMC1",0,1.91747557968155,0.426,0.125,0,"ILCs","CMC1"
"PRF12",0,1.79891416831938,0.551,0.182,0,"ILCs","PRF1"
"KRT86",0,1.75352106654986,0.358,0.028,0,"ILCs","KRT86"
"KRT81",0,1.67449740757013,0.321,0.009,0,"ILCs","KRT81"
"CTSW2",0,1.65149832756483,0.673,0.234,0,"ILCs","CTSW"
"GZMB1",0,1.54898815858937,0.627,0.232,0,"ILCs","GZMB"
"CLIC3",0,1.39283325214529,0.362,0.078,0,"ILCs","CLIC3"
"MATK",0,1.28602761233427,0.411,0.085,0,"ILCs","MATK"
"HOPX2",0,1.27778146721029,0.62,0.23,0,"ILCs","HOPX"
"CD631",2.48855445699409e-232,1.07271767854056,0.724,0.395,6.54489822189445e-228,"ILCs","CD63"
"TMIGD2",1.41011789866244e-228,0.999677181286416,0.365,0.11,3.70861007348221e-224,"ILCs","TMIGD2"
"CCL3",4.58442103617635e-228,2.23855322834323,0.384,0.127,1.20570273251438e-223,"ILCs","CCL3"
"GSTP1",1.10747627579791e-224,1.21054899440655,0.692,0.379,2.91266260534849e-220,"ILCs","GSTP1"
"IL2RB",1.98306072610598e-222,1.17849942912624,0.497,0.204,5.21544970965874e-218,"ILCs","IL2RB"
"IFITM2",2.67955980479243e-209,1.12307698047517,0.817,0.578,7.04724228660408e-205,"ILCs","IFITM2"
"PLAC8",2.05558020634513e-182,1.12839419957059,0.376,0.139,5.40617594268768e-178,"ILCs","PLAC8"
"CCL42",1.0049162428335e-164,1.36122173152124,0.571,0.287,2.64292971865211e-160,"ILCs","CCL4"
"SLC16A3",1.06161349700228e-163,0.951527827587008,0.305,0.104,2.79204349711599e-159,"ILCs","SLC16A3"
"CD71",5.74232508138665e-158,1.00736729354488,0.815,0.643,1.51023149640469e-153,"ILCs","CD7"
"CTSD",5.70464306313359e-132,0.853306581874177,0.525,0.284,1.50032112560413e-127,"ILCs","CTSD"
"IER2",9.82692498122808e-132,1.05624206288177,0.664,0.426,2.58448127006299e-127,"ILCs","IER2"
