"V2" "V3" "V4" "location" "arm"
"AP006222.2" "chr1" 227615 267253 NA "p"
"NOC2L" "chr1" 879584 894689 "1p36.33" "p"
"HES4" "chr1" 934342 935552 "1p36.33" "p"
"ISG15" "chr1" 948803 949920 "1p36.33" "p"
"AGRN" "chr1" 955503 991496 "1p36.33" "p"
"RP11-465B22.8" "chr1" 1104737 1105723 NA "p"
"SDF4" "chr1" 1152288 1167411 "1p36.33" "p"
"B3GALT6" "chr1" 1167629 1170421 "1p36.33" "p"
"FAM132A" "chr1" 1177826 1182102 NA "p"
"UBE2J2" "chr1" 1189289 1209265 "1p36.33" "p"
"ACAP3" "chr1" 1227756 1244989 "1p36.33" "p"
"PUSL1" "chr1" 1243947 1247057 "1p36.33" "p"
"CPSF3L" "chr1" 1246965 1260071 NA "p"
"DVL1" "chr1" 1270656 1284730 "1p36.33" "p"
"AURKAIP1" "chr1" 1309110 1310875 "1p36.33" "p"
"CCNL2" "chr1" 1321091 1334708 "1p36.33" "p"
"MRPL20" "chr1" 1337288 1342693 "1p36.33" "p"
"VWA1" "chr1" 1370241 1378262 "1p36.33" "p"
"ATAD3B" "chr1" 1407143 1433228 "1p36.33" "p"
"ATAD3A" "chr1" 1447531 1470067 "1p36.33" "p"
"SSU72" "chr1" 1477053 1510249 "1p36.33" "p"
"MIB2" "chr1" 1550795 1565990 "1p36.33" "p"
"CDK11B" "chr1" 1570603 1590473 "1p36.33" "p"
"SLC35E2B" "chr1" 1592939 1624167 "1p36.33" "p"
"CDK11A" "chr1" 1634169 1655766 "1p36.33" "p"
"NADK" "chr1" 1682671 1711896 "1p36.33" "p"
"GNB1" "chr1" 1716729 1822495 "1p36.33" "p"
"TMEM52" "chr1" 1849029 1850712 "1p36.33" "p"
"PRKCZ" "chr1" 1981909 2116834 "1p36.33" "p"
"SKI" "chr1" 2160134 2241558 "1p36.33-p36.32" "p"
"RER1" "chr1" 2323267 2336883 "1p36.32" "p"
"PEX10" "chr1" 2336236 2345236 "1p36.32" "p"
"RP3-395M20.12" "chr1" 2477904 2478899 NA "p"
"RP3-395M20.8" "chr1" 2481359 2488470 NA "p"
"TNFRSF14" "chr1" 2487078 2496821 "1p36.32" "p"
"FAM213B" "chr1" 2517930 2522908 NA "p"
"ARHGEF16" "chr1" 3370990 3397677 "1p36.32" "p"
"TPRG1L" "chr1" 3541566 3546691 "1p36.32" "p"
"WRAP73" "chr1" 3547331 3569325 "1p36.32" "p"
"LRRC47" "chr1" 3696784 3713068 "1p36.32" "p"
"CEP104" "chr1" 3728645 3773778 "1p36.32" "p"
"C1orf174" "chr1" 3805689 3816857 "1p36.32" "p"
"RPL22" "chr1" 6241329 6269449 "1p36.31" "p"
"ICMT" "chr1" 6281253 6296032 "1p36.31" "p"
"GPR153" "chr1" 6307406 6321035 "1p36.31" "p"
"ACOT7" "chr1" 6324329 6454451 "1p36.31" "p"
"HES2" "chr1" 6472478 6484730 "1p36.31" "p"
"ESPN" "chr1" 6484848 6521430 "1p36.31" "p"
"NOL9" "chr1" 6581407 6614595 "1p36.31" "p"
"KLHL21" "chr1" 6650784 6674667 "1p36.31" "p"
"THAP3" "chr1" 6684926 6695646 "1p36.31" "p"
"DNAJC11" "chr1" 6694228 6761984 "1p36.31" "p"
"CAMTA1" "chr1" 6845384 7829766 "1p36.31-p36.23" "p"
"VAMP3" "chr1" 7831329 7841492 "1p36.23" "p"
"PARK7" "chr1" 8014351 8045565 "1p36.23" "p"
"ERRFI1" "chr1" 8064464 8086368 "1p36.23" "p"
"RERE" "chr1" 8412457 8877702 "1p36.23" "p"
"ENO1" "chr1" 8921061 8939308 "1p36.23" "p"
"GPR157" "chr1" 9160364 9189229 "1p36.22" "p"
"H6PD" "chr1" 9294834 9331396 "1p36.22" "p"
"SPSB1" "chr1" 9352939 9429591 "1p36.22" "p"
